sec,spd,
211725,445,
212025,510,
212200,620,
212350,790,
212450,900,
212625,925,
212850,840,
213125,690,
213450,560,
213750,475,
214150,410,
215300,420,
216550,405,
218000,430,
219250,400,
220850,475,
221450,470,
221775,855,
222050,1110,
222375,1390,
222650,1615,
222825,1730,
222975,1795,
223225,1880,
223425,1680,
223650,1325,
223925,990,
224175,780,
224500,650,
224800,505,
225775,465,
226675,435,
227650,360,
228475,430,
229500,415,
230825,365,
232150,380,
235450,345,
238875,355,
239150,500,
239825,550,
240150,590,
240500,610,
240750,730,
240975,800,
243575,790,
241400,810,
241650,700,
242075,550,
242650,475,
243350,450,
243700,505,
244075,600,
244675,685,
244825,685,
245125,695,
245350,605,
245575,530,
245700,465,
246500,440,
247375,435,
248600,410,
249050,415,
249575,440,
249975,485,
250150,535,
250475,460,
251300,430,
252400,430,
253325,475,
254200,490,
254675,525,
255125,560,
255425,580,
255675,745,
255975,985,
256300,1225,
256550,1360,
256800,1410,
257025,1440,
257300,1390,
257725,1280,
258200,1200,
258425,1225,
258775,1110,
258950,935,
259175,790,
259575,665,
259975,515,
260325,535,
260625,930,
261025,1275,
261350,1615,
261700,1940,
262000,2365,
262200,2570,
262425,2655,
262750,2700,
263075,2540,
263550,2145,
263725,1765,
264025,1410,
264275,1050,
264675,805,
265175,605,
265925,510,
266750,650,
267000,1200,
267250,1580,
267450,1960,
267650,2250,
267850,2580,
268100,2315,
268375,1840,
268550,1420,
268775,1130,
269025,840,
269825,530,
270950,425,
271700,430,
272350,390,
272925,450,
273300,580,
273800,625,
274375,590,
275100,575,
275950,550,
277375,515,
279450,480,
281650,450,
285525,475,
290300,440,
292275,460,
293125,415,
293975,470,
294775,465,
295250,530,
295725,600,
296325,635,
296750,620,
297375,565,
298175,475,
298925,500,
300525,465,
302200,430,
304450,355,
305525,380,
307775,355,
310400,335,
311225,335,
311700,555,
312100,940,
312500,1305,
312750,1455,
313175,1536,
313475,1530,
313800,1430,
313925,1285,
314200,1140,
314650,950,
315225,845,
315925,795,
316675,765,
317150,810,
317400,770,
317700,740,
318075,760,
318550,695,
318850,605,
319500,420,
319800,380,
320250,440,
320775,445,
321100,465,
321600,455,
321825,535,
322100,685,
322200,810,
322400,940,
322625,1010,
322825,1045,
323100,965,
323450,865,
323600,810,
324125,580,
324575,450,
325275,335,
325875,310,
326300,395,
326900,435,
327475,470,
327800,520,
327975,660,
328275,685,
328575,690,
328750,745,
329175,1030,
329525,1240,
329725,1305,
330100,1225,
330425,1035,
331100,730,
331500,555,
331700,530,
332100,635,
332650,985,
333325,1305,
334050,1620,
334425,1785,
334625,1925,
335050,1880,
335325,1895,
335625,1775,
335900,1700,
336125,1670,
336475,1695,
336725,1640,
337000,1490,
337325,1280,
337725,1000,
338225,760,
338700,565,
339175,470,
339550,430,
340025,495,
340625,515,
341075,470,
341800,425,
342450,465,
342700,565,
343000,770,
343325,1135,
343650,1360,
343825,1490,
344100,1610,
344375,1475,
344625,1165,
345025,825,
345425,630,
345950,490,
346650,480,
347825,470,
348600,430,
349725,405,
350875,460,
351950,485,
352950,405,
354050,305,
354975,315,
355575,430,
355750,510,
356250,575,
356975,620,
357725,705,
358775,770,
358925,775,
359075,815,
359225,865,
359425,915,
359700,880,
359825,895,
360100,1005,
360325,1120,
360500,1190,
360775,1240,
361000,1205,
361300,1095,
361550,925,
361800,835,
362125,765,
362300,805,
362525,900,
362775,1030,
363075,1145,
363375,1215,
363675,1250,
363875,1225,
364150,1170,
364500,1000,
364900,940,
365275,850,
365675,735,
366025,610,
366500,490,
367025,470,
367350,555,
367550,805,
367825,1010,
368075,1295,
368400,1555,
368675,1655,
369275,1680,
370000,1730,
370250,1760,
370625,1720,
370875,1750,
371150,1775,
371475,1670,
371750,1535,
372025,1370,
372325,1200,
372575,1025,
372975,935,
373200,1000,
373450,1180,
373675,1355,
373925,1485,
374025,1505,
374200,1370,
374425,1155,
374650,895,
374650,700,
375550,545,
376100,425,
376525,465,
376750,540,
376950,595,
377325,525,
377875,400,
378950,330,
379850,440,
380275,580,
380675,1125,
381125,1555,
381475,1870,
381775,2120,
382075,2280,
382300,2120,
382450,1715,
382625,1480,
382925,1280,
383175,1150,
383625,1310,
384125,1650,
384875,2145,
385125,2385,
385475,2465,
385725,2425,
386000,2460,
386100,2275,
386325,2135,
386725,2340
387025,2605,
387175,2855,
387400,2940,
387400,3145,
387725,2890,
387900,2895,
388150,3065,
388300,3195,
388525,3235,
388975,3200,
389600,3185,
390100,3195,
390550,3235,
390875,3390,
391450,3560,
392200,3645,
392800,3590,
393625,3605,
394400,3660,
395125,3725,
395900,3760,
396200,3385,
396275,3030,
396525,2705,
396725,2695,
397100,2440,
397475,2580,
397950,2195,
398025,1700,
398225,1330,
398575,1060,
398925,835,
399650,585,
400600,405,
402300,365,
405300,435,
407250,405,
407600,745,
407925,1105,
408175,1295,
408350,1395,
408650,1430,
409050,1450,
409625,1170,
410250,710,
410800,520,
411950,460,
413375,435,
414275,380,
415150,290,
416325,410,
416850,440,
417100,645,
417400,875,
417850,1100,
418350,1315,
418700,1210,
418975,1130,
419550,875,
420175,530,
421150,380,
422425,330,
422625,960,
422975,1205,
423350,1515,
423625,1485,
423950,1180,
424450,1055,
425075,675,
425650,510,
426750,390,
427475,595,
427725,865,
427950,1050,
428200,1105,
428725,995,
429250,735,
429900,515,
430800,375,
431625,385,
432825,515,
433725,635,
434650,695,
434950,720,
435500,640,
435925,595,
436400,460,
437875,495,
438825,585,
439400,650,
439875,575,
440600,505,
443375,450,
445825,490,
448150,470,
452125,340,
459650,390,
465300,445,
470000,445,
