time,speed
215525,1930
215975,2530
216350,2820
216450,2755
216900,2700
217400,2525
217900,2485
218675,2520
219375,2430
219775,2375
220000,2585
220275,2900
220400,3045
220525,3050
220925,2950
221500,2895
221950,2940
222250,2980
222275,2965
222550,2835
223200,2615
223425,2525
223750,2220
224250,1775
224550,1600
225000,1470
225200,1830
225450,2105
225625,2500
225800,2645
226075,2755
226400,2665
226975,2540
227350,2525
227575,2585
228075,2665
228750,2685
229200,2725
229500,2530
229850,2220
230150,2030
230450,2065
230900,1920
231125,1810
231300,1765
231525,1860
231800,1960
232100,1890
232200,1865
232500,1800
232775,2240
233000,2765
233175,2960
233500,3060
233750,3015
234325,2910
235300,2870
236000,2905
236400,2930
236750,2865
237050,2945
238075,3015
239125,2980
239750,2995
240850,2960
241950,2930
242400,2895
242725,2685
243075,2495
243450,2575
243675,2660
244200,2705
244675,2630
245225,2585
245625,2580
245725,2565
246100,2190
246450,1555
246950,950
247775,610
248225,615
248750,720
249650,700
250000,575
250650,1025
250900,1535
251200,1990
251475,2190
251575,2135
252175,1835
252650,1630
252725,1706
253075,2050
253150,2310
253325,2405
253625,2355
253850,2495
254275,2635
254800,2745
255225,2720
255725,2700
256275,2740
256650,2770
257100,2750
257525,2210
258175,1425
258775,1105
259000,1045
259325,1600
259750,2240
260150,2850
260375,2990
260625,2985
261250,2835
261725,2820
262575,2870
262825,2845
263225,2520
263450,2140
264025,1860
264575,1620
264650,1765
265000,2230
265200,2490
265400,2585
266150,2450
266375,2260
266675,2060
266975,2195
267325,2655
267525,3050
267775,3190
268275,3080
268925,3045
269400,3025
269650,3195
270175,3325
271300,3275
273450,3340
276175,3355
278475,3385
279825,3405
283475,3435
284100,3515
286175,3530
287900,3530
289700,3535
290300,3440
290875,2580
291350,1495
291825,1030
292100,875
292275,950
292550,1585
292900,2195
293100,2430
293350,2385
293900,2260
294375,2050
294850,1990
295050,2065
295650,2405
296350,2695
296650,2820
297275,2815
298150,3005
299325,2975
299750,2950
302150,3010
304125,3050
305300,2980
306700,2995
307750,2995
308275,2000
308625,1225
308975,915
309650,695
309825,795
310150,1855
310700,3045
311200,3245
311950,3155
312550,3180
313200,3140
313875,2200
314450,1155
314950,935
315725,955
315875,925
316600,695
317400,540
317625,610
318200,1470
318625,2185
319175,2430
319750,2585
320300,2570
320775,2505
321375,2435
322400,2540
323700,2555
324700,2505
325550,2525
326350,2485
327175,1875
327600,1325
328075,1000
328575,780
329100,805
329700,1120
330300,1310
330775,1615
330925,1690
331425,1630
332225,1075
333475,605
334275,495
334650,720
335300,1145
336050,1380
337200,1400
338450,1325
339475,1325
339950,1155
341025,720
341600,600
341825,660
342175,850
342425,900
342500,855
343575,620
344725,505
348700,440
355450,340
361400,395
361700,1125
362375,2105
362900,2610
363950,2675
364625,2730
365900,2710
367975,2590
369525,2570
369850,2540
