C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5_1.xdf,12.12.24,15:22:28,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0279437,0,0,0.0405544,0,0,-0.0322143,0,0,-8.4773569,0,0,21.0660782,0
,6.25,-0.0000073,0.0000027,6.25,-0.019515,-0.0026569,6.25,-0.0284199,0.0064003,6.25,0.0234399,-0.0006309,6.25,23.9229736,-10.3414259,6.25,-48.2981148,3.147202
,12.5,-0.0000337,0.0000055,12.5,-0.0005304,0.0006699,12.5,-0.0006443,-0.0016288,12.5,-0.0005728,0.0007475,12.5,-24.928421,-12.2706175,12.5,71.0108948,-5.6269364
,18.75,-0.0000577,-0.0001319,18.75,0.0013348,0.0004957,18.75,0.0016996,0.0015017,18.75,-0.0000036,-0.002285,18.75,11.3959932,16.0312233,18.75,-43.5131073,37.7188835
,25,0.0001406,0.0001939,25,-0.0013832,-0.000517,25,-0.0016685,-0.0022449,25,-0.0003034,0.0023327,25,1.4841392,-13.5151043,25,-2.0177689,-47.8626099
,31.25,0.0010011,0.0000999,31.25,0.000464,0.0001035,31.25,-0.0001776,-0.0000524,31.25,0.0002325,-0.000784,31.25,-7.6520848,-0.274361,31.25,13.3030996,5.5596523
,37.5,-0.0025378,-0.0009013,37.5,-0.0005189,0.0004301,37.5,0.0006164,0.0012283,37.5,0.000185,0.0004904,37.5,0.7396735,11.0370808,37.5,14.2533245,-5.5611758
,43.75,0.0016611,0.0019574,43.75,0.0006013,0.0003978,43.75,-0.0005509,0.0006007,43.75,0.0010336,-0.0004081,43.75,-0.3178768,-0.1628134,43.75,-37.520092,10.0054102
,50,-0.0001175,-0.0020952,50,-0.001639,-0.0006013,50,0.0001537,-0.0020907,50,-0.0030258,0.0010617,50,1.580466,-0.2942706,50,33.3815727,11.6898985
,56.25,0.0000088,0.0014964,56.25,0.0041117,-0.0027078,56.25,0.0021008,-0.0028801,56.25,0.0030335,-0.0033157,56.25,-0.3142214,-7.2317781,56.25,-37.9206505,-21.5740852
,62.5,0.0013228,-0.0030012,62.5,-0.0034304,0.0035468,62.5,-0.0025406,0.0048022,62.5,-0.0015975,0.0036534,62.5,-1.2480123,5.3497591,62.5,35.4155807,31.1966438
,68.75,-0.0007503,0.0028606,68.75,0.0004854,-0.0006509,68.75,0.0011473,-0.0007084,68.75,-0.0003059,-0.0017987,68.75,3.51298,-5.7144961,68.75,-18.8461189,-12.8134899
,75,-0.00262,0.0007604,75,0.0001004,-0.0001114,75,-0.0009308,-0.0002217,75,0.0012706,0.0004425,75,-2.2636986,4.2731037,75,16.3035202,-9.1741867
,81.25,0.0003073,-0.0016025,81.25,0.0006629,-0.0004878,81.25,0.0009071,-0.0003669,81.25,-0.0003393,-0.0013504,81.25,-3.3290713,2.0979228,81.25,-16.2056446,10.0975218
,87.5,0.0028493,-0.0005035,87.5,0.0000203,0.0005107,87.5,-0.0003769,-0.0002117,87.5,0.000137,0.002686,87.5,2.837276,1.5126821,87.5,-6.2409844,-3.4932258
,93.75,0.0021352,-0.0007041,93.75,-0.0015567,0.0004939,93.75,-0.0003057,-0.0000528,93.75,-0.0014081,-0.0005218,93.75,7.1268058,-0.4766045,93.75,18.4427795,-6.7686696
,100,-0.0107181,0.0020092,100,0.0011849,-0.0007856,100,0.0009408,-0.0000906,100,0.000197,0.0000451,100,-7.9497232,-12.3906565,100,-5.9196572,3.2784579
,106.25,0.0090729,-0.00219,106.25,-0.000151,0.0003827,106.25,-0.001876,0.0006553,106.25,0.0023838,-0.0019503,106.25,0.534827,17.8253765,106.25,1.9144263,12.9761238
,112.5,0.0007647,0.0087673,112.5,-0.0004134,0.0005908,112.5,-0.0003136,0.0002085,112.5,-0.0013853,0.0033398,112.5,0.2559329,-7.2302155,112.5,4.7527008,-23.8790207
,118.75,-0.0022872,-0.0136654,118.75,0.0012993,-0.0018113,118.75,0.0032628,0.0000457,118.75,0.0009094,-0.0038279,118.75,-0.332523,-2.392216,118.75,-15.2026539,26.0805073
,125,-0.0028769,0.0204441,125,0.000275,0.0005287,125,-0.0018478,-0.0024154,125,-0.0010604,0.0019698,125,-1.7375627,-9.6335144,125,11.3854027,-16.0966034
,131.25,0.0074458,-0.0213168,131.25,-0.0021782,0.0014116,131.25,-0.0011916,0.0035332,131.25,0.0005937,-0.0012403,131.25,7.719348,16.1812744,131.25,-12.5219841,-6.2679377
,137.5,0.0036533,0.0074525,137.5,0.0018392,-0.0011864,137.5,0.0014774,-0.0007479,137.5,-0.0001453,0.0007945,137.5,-9.0536966,-6.0235443,137.5,17.1215076,17.9121265
,143.75,-0.0137223,0.0096842,143.75,0.0005565,-0.0005722,143.75,0.0007275,-0.0010841,143.75,0.0012413,-0.0008863,143.75,10.439045,3.1523044,143.75,-11.7961702,-7.0714574
