C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_3_7.xdf,12.12.24,14:50:02,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0247047,0,0,0.0060208,0,0,-0.0009121,0,0,-18.1312981,0,0,-113.9557724,0
,6.25,0.0000058,-0.0000008,6.25,0.017522,0.0011941,6.25,-0.0040829,0.0024677,6.25,0.0003624,0.0002958,6.25,40.5769615,-37.7389565,6.25,115.3609543,23.6991253
,12.5,-0.0000642,0.0000201,12.5,-0.0000265,-0.00046,12.5,-0.0003408,-0.0006139,12.5,-0.0000177,-0.0007273,12.5,-36.53545,21.3172264,12.5,-68.7864227,0.0142032
,18.75,0.0001849,-0.000132,18.75,-0.0003295,0.0001811,18.75,-0.0003829,-0.0007867,18.75,0.0007997,0.0017048,18.75,9.1447001,-2.5873778,18.75,33.4409752,-10.749136
,25,-0.0002304,0.0003725,25,0.0003366,-0.0001029,25,0.0006732,0.0011094,25,-0.0008949,-0.0015823,25,4.0968657,-11.277915,25,10.5840387,-1.2894268
,31.25,0.0000998,-0.0004263,31.25,0.0002154,0.000098,31.25,0.0002095,-0.0008654,31.25,0.0006569,0.0006401,31.25,-0.4672827,20.2256565,31.25,-57.4031906,-6.9541268
,37.5,-0.0004756,0.0002408,37.5,-0.0002785,-0.0000337,37.5,-0.000631,0.0004647,37.5,-0.0000557,-0.0004579,37.5,-8.8258371,-18.4154682,37.5,188.4402313,106.8628311
,43.75,0.0006928,-0.0007874,43.75,-0.0000423,0.0003166,43.75,-0.0005035,0.0005757,43.75,0.0001247,0.001031,43.75,-13.2375546,47.9596176,43.75,-166.4657745,-151.8092804
,50,-0.0002926,0.0008855,50,0.0013498,-0.0001789,50,0.0028783,-0.0003666,50,0.0005031,-0.0008104,50,9.7297659,-76.554039,50,-8.1436949,74.7377777
,56.25,0.0002061,0.0007674,56.25,-0.0041901,-0.0018939,56.25,-0.0046417,-0.0031986,56.25,-0.0045106,-0.0016542,56.25,31.8582764,40.3234291,56.25,31.7149582,-32.8582802
,62.5,-0.0010412,0.0008707,62.5,0.0039957,0.0023679,62.5,0.0037316,0.0038113,62.5,0.0052519,0.0019173,62.5,-44.5561905,1.7384324,62.5,7.9144135,21.7837906
,68.75,0.0009434,-0.0028941,68.75,-0.0007875,-0.0005137,68.75,-0.0010803,-0.0013075,68.75,-0.0010244,0.0005461,68.75,19.6046486,7.0404177,68.75,-13.2087889,-4.0496211
,75,0.0004743,-0.0002871,75,-0.0000035,0.0001958,75,-0.000195,0.0009787,75,-0.0000338,-0.0009435,75,19.0627995,-16.5783081,75,0.0843161,0.1970178
,81.25,-0.0002668,0.0011628,81.25,-0.0009766,-0.0008918,81.25,0.0000317,-0.0007408,81.25,-0.0011579,-0.0002241,81.25,-32.3539391,-13.1382246,81.25,10.7685509,-0.9921361
,87.5,0.0020911,0.0010189,87.5,0.0015613,0.0010882,87.5,0.0003702,0.0003841,87.5,0.0016758,0.0010805,87.5,-12.4181871,27.8675041,87.5,-0.0637675,-1.8539914
,93.75,-0.0038311,-0.0029414,93.75,-0.0011673,-0.0010938,93.75,0.000132,-0.000607,93.75,-0.0017332,-0.0013717,93.75,47.9175835,8.9611416,93.75,-7.2601032,-3.8556821
,100,-0.0000602,0.0045371,100,0.0001639,0.0002067,100,-0.0015519,-0.0001526,100,0.0013436,0.0010474,100,10.7563553,-51.2086449,100,3.277874,11.899929
,106.25,0.000106,-0.0013881,106.25,0.0000073,0.0002959,106.25,0.0025871,-0.0000861,106.25,-0.0019021,-0.0000523,106.25,-34.4965706,46.5715714,106.25,3.7824583,-18.1680813
,112.5,0.0043659,0.0011072,112.5,0.0010333,-0.0002892,112.5,-0.0005817,0.0026868,112.5,0.0025599,-0.0021144,112.5,-6.9882183,16.2829247,112.5,-11.3119164,42.6568718
,118.75,-0.004822,-0.0059696,118.75,-0.0019783,0.0001051,118.75,-0.0025155,-0.0052412,118.75,-0.0027496,0.0038661,118.75,52.9400711,-32.2873497,118.75,31.2094669,-38.0965462
,125,-0.0014367,0.0019062,125,0.0019327,0.0011637,125,0.001675,0.0069791,125,0.0033139,-0.003695,125,-122.5924835,-17.2081165,125,-66.2188263,-2.8351116
,131.25,0.009654,0.003681,131.25,-0.0022279,-0.0016936,131.25,-0.0022502,-0.0047649,131.25,-0.0017302,0.0018799,131.25,132.0020752,9.7420979,131.25,68.7318115,7.0769868
,137.5,-0.0078183,-0.0000293,137.5,0.0024612,0.0008493,137.5,0.0045412,0.001133,137.5,-0.0003289,-0.0003448,137.5,-75.8262405,42.8680992,137.5,-29.396059,14.5105619
,143.75,0.0009245,-0.0050305,143.75,-0.005065,-0.0030935,143.75,-0.0044826,-0.0030132,143.75,-0.002892,-0.0021044,143.75,51.0886116,-30.5620956,143.75,10.0453234,-13.3275328
