C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_6.xdf,12.12.24,16:47:53,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0229722,0,0,0.0464869,0,0,-0.0315479,0,0,1.3825545,0,0,66.2971191,0
,6.25,-0.0000044,0.000001,6.25,0.0162517,0.0019777,6.25,-0.0325352,0.0121705,6.25,0.0204472,0.0067588,6.25,-27.0610237,3.4767165,6.25,-37.2408867,14.3202
,12.5,0.0000639,0.0000068,12.5,-0.0004449,-0.0000084,12.5,-0.0004891,-0.0027306,12.5,0.0016675,-0.0004767,12.5,26.7082939,6.8421884,12.5,-20.9236851,-23.2922211
,18.75,0.0000119,0.0000096,18.75,0.0001,-0.0020738,18.75,-0.0005187,-0.0036499,18.75,-0.0019195,-0.0012727,18.75,14.1838627,-17.2618465,18.75,14.2214079,9.8064604
,25,-0.0002903,-0.0001575,25,0.00084,0.0016966,25,0.0013375,0.0032932,25,0.0025748,-0.0001782,25,-16.2009888,13.8245411,25,1.0049404,-0.1168122
,31.25,0.0005365,-0.0003079,31.25,-0.0007475,-0.000302,31.25,-0.0013705,-0.0008047,31.25,0.000098,0.0001962,31.25,2.9421406,2.0470109,31.25,-6.9588013,-4.4904699
,37.5,0.0003618,0.0012151,37.5,0.0002399,-0.0001284,37.5,0.001609,-0.0008642,37.5,-0.0009251,-0.0004798,37.5,-0.82933,-5.0915437,37.5,26.3687305,38.6492195
,43.75,-0.0010374,-0.0011779,43.75,0.0002766,0.0002808,43.75,-0.0009656,0.0014884,43.75,0.0004755,-0.0004139,43.75,-4.72334,-5.7782278,43.75,-39.7345772,-43.7910957
,50,-0.0004971,0.0006092,50,-0.0018493,-0.0004833,50,-0.0041844,-0.0032438,50,-0.0004358,0.0033063,50,-1.5052704,14.6787806,50,29.5876732,-7.6218696
,56.25,-0.0003991,-0.0009303,56.25,0.0049822,-0.0011071,56.25,0.0095532,0.0029979,56.25,0.0022977,-0.0057596,56.25,14.433568,-12.785306,56.25,-40.3329544,27.9720173
,62.5,0.0060778,-0.000424,62.5,-0.0051951,0.0025214,62.5,-0.0068312,-0.0018778,62.5,-0.0031432,0.0051566,62.5,-12.9168386,4.9189625,62.5,48.74366,-5.641757
,68.75,-0.0062943,0.0039245,68.75,0.0017656,-0.0009838,68.75,0.0009412,0.0013114,68.75,0.0020512,-0.0020822,68.75,7.122407,-3.5644088,68.75,-27.8366108,-16.283289
,75,0.0010204,-0.0057029,75,0.0000999,-0.0005175,75,0.0011453,-0.0005763,75,-0.0015056,0.0002868,75,-1.0617838,11.9357424,75,5.27004,10.3251839
,81.25,0.0006347,0.0042755,81.25,0.0002116,0.000268,81.25,0.0002085,0.0000026,81.25,0.0000736,-0.0005002,81.25,-5.1241632,-12.8601799,81.25,7.9962091,-7.7750187
,87.5,0.000931,0.0010787,87.5,-0.0010761,0.0007689,87.5,-0.0023111,0.0005807,87.5,0.0006512,0.0010126,87.5,3.6761425,13.8388405,87.5,-13.0496492,28.9930496
,93.75,-0.0044672,-0.0022715,93.75,0.0015032,-0.0012343,93.75,0.000804,-0.0010979,93.75,0.0010349,-0.0009532,93.75,-5.7027111,-22.1477222,93.75,-0.6411107,-28.9552155
,100,0.002423,-0.0051869,100,-0.0007762,0.0005852,100,0.0015112,0.0001044,100,-0.0014813,0.000346,100,8.9854612,12.8239746,100,14.3506317,8.6875057
,106.25,-0.0027618,0.0086029,106.25,-0.0001784,-0.0005356,106.25,-0.0010751,0.000808,106.25,-0.0006062,-0.0005146,106.25,-9.8071899,-5.9628959,106.25,-6.6337738,-0.6190871
,112.5,0.0102006,0.0002386,112.5,0.0001394,0.0002389,112.5,-0.0002928,-0.0012806,112.5,0.0008207,0.0001426,112.5,4.363739,10.0316458,112.5,0.5959181,4.2604027
,118.75,-0.0077691,-0.0086551,118.75,-0.0002972,0.0014597,118.75,-0.0007155,0.0041334,118.75,0.0002345,0.0009828,118.75,9.4956856,-6.6627402,118.75,-10.9445848,-9.4159079
,125,-0.0081955,0.0028866,125,0.0003243,-0.0009688,125,0.0016971,-0.0050782,125,0.0009054,0.0001101,125,-18.113554,-3.1839337,125,2.3853765,18.9078693
,131.25,0.0110687,-0.0061642,131.25,-0.0002851,-0.0013941,131.25,-0.0012226,0.0015106,131.25,-0.0016982,-0.0013528,131.25,18.9879417,9.108922,131.25,13.5359201,-9.8260565
,137.5,0.01237,0.013921,137.5,0.0013055,0.0046051,137.5,0.0030413,0.0008711,137.5,-0.0000793,0.0038308,137.5,-7.7085404,-10.4488916,137.5,-4.8183198,-17.8786449
,143.75,-0.0151123,0.0129429,143.75,-0.0036776,-0.0071357,143.75,-0.0039655,-0.002457,143.75,-0.0014501,-0.0061276,143.75,-0.149631,13.0873785,143.75,-1.3800433,25.8044662
