C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_1_1.xdf,12.12.24,14:13:57,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0090531,0,0,0.0026679,0,0,0.0066566,0,0,19.3375187,0,0,33.4349747,0
,6.25,-0.0000041,0.0000014,6.25,-0.006887,0.0007199,6.25,-0.0011975,0.0009148,6.25,-0.0048098,0.0020063,6.25,-14.3246183,1.2809645,6.25,-17.7218037,-58.1341743
,12.5,0.000007,-0.0000202,12.5,0.0005991,-0.0002819,12.5,-0.0009486,-0.0008444,12.5,0.0010009,0.0008447,12.5,-2.8211644,5.8382564,12.5,-22.3018284,37.0028419
,18.75,0.0000764,0.0000223,18.75,0.0003049,0.0001374,18.75,0.0005154,0.0003407,18.75,-0.0016795,-0.0027117,18.75,4.2504683,-6.3600779,18.75,24.3040237,8.8660002
,25,-0.0001763,0.0000887,25,-0.000468,-0.000386,25,-0.0001626,-0.000235,25,0.0016024,0.0019301,25,-1.5022207,4.0064244,25,-4.773766,-20.0830154
,31.25,-0.0000427,-0.0002331,31.25,-0.0001778,0.0001448,31.25,-0.0002727,0.0003284,31.25,-0.0013834,-0.0005794,31.25,0.3356586,-0.9898121,31.25,8.078105,14.092063
,37.5,0.0002305,0.0003329,37.5,0.0002396,0.0003974,37.5,0.0000556,0.0001756,37.5,0.0008224,-0.0003182,37.5,4.8316221,-0.4028705,37.5,-26.231987,-20.170454
,43.75,-0.0002014,-0.0002134,43.75,-0.0000305,-0.000454,43.75,0.0008177,-0.0000344,43.75,-0.0003097,0.0004944,43.75,-7.7608514,0.6313667,43.75,11.1661863,15.4013596
,50,0.0001005,0.0001723,50,0.0012038,-0.0005716,50,0.0006086,-0.001415,50,0.000196,-0.0014292,50,5.6229773,-4.0921283,50,4.4985619,-6.6274552
,56.25,-0.0000898,-0.0013741,56.25,-0.0038091,0.0025915,56.25,-0.0049217,0.0029583,56.25,-0.0019388,0.0045575,56.25,-4.9130859,4.1559515,56.25,2.0625913,14.5233479
,62.5,0.0012853,0.0023652,62.5,0.0038212,-0.0025759,62.5,0.0051586,-0.0025229,62.5,0.0026492,-0.0044009,62.5,2.4544251,0.0208679,62.5,-4.1093693,-13.9795742
,68.75,-0.0025859,-0.0013652,68.75,-0.0016059,0.000468,68.75,-0.002237,-0.0002664,68.75,-0.0009812,0.0025059,68.75,2.3517694,-3.3008268,68.75,-3.2061794,2.5741632
,75,0.0013518,-0.0002754,75,0.0007693,0.0008673,75,0.0008339,0.0021858,75,0.001244,-0.0022639,75,-6.0857682,3.8186569,75,4.2910404,4.0707946
,81.25,0.0003101,0.0008555,81.25,0.0000278,-0.0017122,81.25,0.0007211,-0.0009206,81.25,-0.0014486,-0.0012643,81.25,7.0546355,-1.3961115,81.25,2.1277678,-7.7910423
,87.5,-0.0006959,0.0004163,87.5,-0.0003789,0.0013412,87.5,-0.0010893,-0.001043,87.5,0.0001439,0.0038124,87.5,-6.5447407,-3.7535677,87.5,-0.8446895,6.7662249
,93.75,0.0001241,-0.0004972,93.75,-0.0002377,-0.0001983,93.75,-0.0002728,0.0008216,93.75,0.0005742,-0.0017338,93.75,4.8522153,6.5154915,93.75,1.6654185,0.815289
,100,0.0011306,-0.0011238,100,0.0002608,-0.0000344,100,0.0010598,0.0001768,100,-0.0008107,-0.0001835,100,0.9216311,0.1150572,100,-0.7325231,-7.1014876
,106.25,-0.0008532,0.000877,106.25,0.00015,-0.0003959,106.25,0.000233,-0.0005598,106.25,-0.0000476,0.0002056,106.25,-3.7288656,-3.8214724,106.25,-8.5355158,3.5918107
,112.5,-0.001816,-0.0001075,112.5,-0.0013459,0.0007352,112.5,-0.002684,0.0002202,112.5,-0.0000263,0.0001895,112.5,1.4222639,-0.9573528,112.5,14.1012573,4.7602029
,118.75,0.0052255,0.0008067,118.75,0.0028314,-0.0004089,118.75,0.0042611,0.0012544,118.75,0.0014785,-0.0002291,118.75,-1.5295544,-0.8001676,118.75,-7.4138641,-0.9742218
,125,-0.0058132,-0.0007603,125,-0.0018601,0.0005345,125,-0.0044545,-0.0009971,125,-0.0002315,0.0004504,125,3.533083,3.0432687,125,-3.3916681,-3.1756873
,131.25,0.0052997,-0.0002681,131.25,0.0000495,-0.0000023,131.25,0.0020913,0.0007194,131.25,-0.0007849,-0.000145,131.25,-3.8234036,-0.2804878,131.25,3.5907269,-3.1219013
,137.5,-0.0051226,-0.0003892,137.5,-0.0001727,-0.0007821,137.5,-0.0009473,-0.0007685,137.5,-0.0000781,-0.0001912,137.5,3.3403983,1.9880431,137.5,1.1903791,5.8617387
,143.75,0.0026055,0.0011374,143.75,0.0018585,0.0026333,143.75,0.0013046,0.0023769,143.75,0.0013243,0.0014236,143.75,-2.1962016,-3.7201459,143.75,2.6322396,-1.405174
