C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5-6.xdf,12.12.24,15:40:41,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,156.25,-0.0079282,0.0080067,156.25,0.0002126,0.0002191,156.25,0.0025542,0.0009645,156.25,0.0004484,-0.0004003,156.25,33.7756348,21.3801708,156.25,12.0887003,6.540185
,162.5,0.0073724,-0.0022451,162.5,-0.0044487,-0.0013085,162.5,0.0037131,-0.0041168,162.5,-0.0075765,0.0003384,162.5,-28.6532612,-3.8671954,162.5,-12.7183914,3.6618967
,168.75,-0.0052951,-0.0085467,168.75,-0.0201178,-0.000262,168.75,0.0331617,-0.0304625,168.75,-0.0363983,0.0064765,168.75,3.7821469,-15.9206142,168.75,13.2177868,-32.232502
,175,0.0157013,0.0226672,175,0.0737403,0.003042,175,-0.1075638,0.1012317,175,0.1311609,-0.0203407,175,-1.3003949,46.8895721,175,-2.833436,73.6891327
,181.25,0.0087346,0.0220437,181.25,-0.0557076,-0.00252,181.25,0.0806488,-0.0762858,181.25,-0.0991885,0.0141101,181.25,10.6317205,-64.0064163,181.25,-6.6162915,-78.3807144
,187.5,-0.0619326,-0.0993589,187.5,0.0056725,0.0005946,187.5,-0.0075353,0.0062262,187.5,0.0089495,0.0004216,187.5,-15.5807648,31.154747,187.5,-6.814013,42.09869
,193.75,0.0525396,0.0815456,193.75,0.0003932,-0.0000893,193.75,-0.0018322,0.0039089,193.75,0.0026676,-0.0018411,193.75,12.1927433,-14.7823839,193.75,1.412797,-28.3367939
,200,-0.0043855,-0.0459315,200,0.000859,0.0000512,200,-0.0043947,0.0026525,200,0.0024238,0.0003029,200,-2.8651638,6.0793662,200,6.2547345,24.4684334
,206.25,-0.0424663,0.0756739,206.25,0.0034588,0.0021037,206.25,0.0075403,-0.0000557,206.25,-0.0010767,-0.0018612,206.25,-0.1679225,10.176156,206.25,36.9845009,-0.3286747
,212.5,0.0870587,-0.0657914,212.5,-0.0045259,-0.005149,212.5,-0.0062516,-0.0054197,212.5,-0.0008397,0.0021854,212.5,3.6764348,-13.0369759,212.5,-82.1086884,-49.0380173
,218.75,-0.0812806,0.0168772,218.75,0.0012092,0.0045931,218.75,0.0014948,0.005343,218.75,0.0015163,-0.0007398,218.75,-9.8000832,5.6867142,218.75,46.5205498,76.4976349
,225,0.0516645,-0.0069688,225,0.0007416,-0.0015251,225,-0.0006519,-0.0028293,225,0.0000043,0.0010424,225,3.3738461,-1.3951082,225,13.8761139,-36.7790871
,231.25,-0.0136272,0.0333984,231.25,0.0011187,0.0002775,231.25,0.0010959,0.0020391,231.25,0.0005544,-0.0003372,231.25,1.6976674,1.1133955,231.25,-16.2454319,-1.9608402
,237.5,-0.0310614,-0.05558,237.5,-0.0018503,-0.0011473,237.5,-0.0002504,-0.0020776,237.5,-0.0012936,-0.0010396,237.5,1.562789,-1.6628962,237.5,-6.6524887,3.3830202
,243.75,0.0020539,0.0369096,243.75,0.0003799,0.0010856,243.75,-0.0001747,0.0017179,243.75,0.0003009,0.000841,243.75,-5.3392296,10.3587046,243.75,16.5957603,-9.387784
,250,0.034322,0.0003654,250,0.000378,-0.0006151,250,-0.0007842,-0.0005185,250,0.0003546,-0.0003978,250,11.5989637,-12.6775799,250,-16.7096004,7.7012663
,256.25,-0.0391152,0.0014155,256.25,-0.0000579,0.0005429,256.25,0.0008452,-0.0002215,256.25,0.0000654,-0.0002495,256.25,-11.6642485,7.2001719,256.25,11.9718828,-2.2179599
,262.5,0.0533043,-0.0264715,262.5,0.0003366,-0.0004647,262.5,0.0000217,0.000253,262.5,0.000133,0.0004572,262.5,2.7387412,-14.0190926,262.5,-8.9272509,8.602951
,268.75,-0.0179925,0.0278306,268.75,-0.0005172,0.000083,268.75,-0.0007104,-0.0001407,268.75,0.0000767,-0.0003032,268.75,-2.7127392,12.0988331,268.75,13.2809887,-3.6780918
,275,-0.0163898,0.0146223,275,-0.0000258,0.0005571,275,0.0003423,-0.000299,275,-0.0005626,0.0007758,275,12.6188354,12.9932165,275,-11.160449,0.1716666
,281.25,0.0106545,-0.0502761,281.25,0.0001685,-0.0007774,281.25,-0.0000066,0.0014876,281.25,0.0004637,-0.0014302,281.25,-8.9831495,-28.5359535,281.25,0.8335864,-3.5990694
,287.5,0.003921,0.0686737,287.5,0.0013499,0.0012059,287.5,-0.0009549,-0.0022139,287.5,0.0016873,0.0023106,287.5,18.4232006,1.1998435,287.5,-5.1536694,7.6730866
,293.75,-0.0147221,-0.0270568,293.75,-0.0043807,-0.0014646,293.75,-0.0016121,0.0006674,293.75,-0.0045269,-0.0025611,293.75,10.4819727,44.5732002,293.75,7.3165555,-16.4086475
,300,0.0241322,-0.047093,300,0.0053728,0.0012007,300,0.0061548,0.0009124,300,0.0038476,0.002393,300,-78.1644974,-19.8842239,300,5.1115427,15.1964846
,306.25,-0.0694475,0.0627869,306.25,-0.0026525,-0.0007437,306.25,-0.0038703,0.0001162,306.25,-0.0011988,-0.0023147,306.25,48.2969475,-44.1700668,306.25,-3.5677736,-5.1242509
