C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_1_2.xdf,12.12.24,14:40:35,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0120304,0,0,-0.0046802,0,0,-0.0019556,0,0,30.3637619,0,0,-64.5258789,0
,6.25,0.0000006,-0.0000023,6.25,-0.008561,-0.0005022,6.25,0.003245,-0.0000377,6.25,0.001442,0.0002115,6.25,-25.0422459,-7.3494635,6.25,44.1589127,3.679703
,12.5,-0.00001,0.0000105,12.5,0.0000448,0.0006201,12.5,-0.0000181,0.0001439,12.5,0.000308,0.0001258,12.5,3.1345417,-3.3571532,12.5,-3.828639,-7.0165968
,18.75,0.0000289,0.0000216,18.75,0.0001387,-0.0003922,18.75,0.0000613,0.0003387,18.75,-0.0003009,-0.0003605,18.75,1.1452936,8.6132364,18.75,-4.7911296,-2.5108502
,25,-0.0000306,-0.0001147,25,-0.0000354,-0.0000426,25,0.0001156,-0.0003295,25,-0.0000462,0.0001358,25,-0.0182696,-5.7290173,25,16.1015568,3.1786849
,31.25,-0.0001134,0.0001658,31.25,-0.0002527,0.0001345,31.25,0.0000241,-0.0002709,31.25,-0.0000759,-0.0001152,31.25,-0.6681144,4.667285,31.25,-6.7802181,3.3119192
,37.5,0.0001311,-0.0001518,37.5,0.0000634,0.00009,37.5,-0.0000879,0.0001422,37.5,0.0000818,0.000171,37.5,-2.219409,-3.9079406,37.5,11.3927422,-4.2308931
,43.75,-0.0000138,-0.0000305,43.75,0.000437,-0.000275,43.75,0.0000242,-0.0005906,43.75,-0.0000249,-0.0000639,43.75,2.225625,2.0224822,43.75,-17.6291313,-1.2078158
,50,-0.0001162,0.0005796,50,0.0000911,-0.0003131,50,0.0010289,0.0013851,50,0.00063,-0.0015965,50,1.975667,-0.9372686,50,7.5115433,7.9259124
,56.25,-0.0002791,-0.0000278,56.25,-0.002478,0.0031284,56.25,-0.0039857,0.0010103,56.25,-0.002809,0.0064883,56.25,-5.2125969,1.2315103,56.25,-3.4030914,-1.480359
,62.5,0.0014971,-0.0020824,62.5,0.0032018,-0.0035647,62.5,0.0038037,-0.0024794,62.5,0.0033017,-0.0066352,62.5,6.982317,-0.7575123,62.5,3.6989613,-5.9532156
,68.75,-0.0008432,0.0033267,68.75,-0.0010167,0.0005076,68.75,-0.0006672,0.0012289,68.75,-0.0004637,0.0002892,68.75,-4.2471313,0.5699537,68.75,3.3788857,5.1718502
,75,-0.0004736,-0.0019808,75,-0.000311,0.000512,75,-0.0002727,-0.0011466,75,-0.0011034,0.0026732,75,1.6801564,2.1005285,75,-7.4353156,-7.1578608
,81.25,0.0005734,0.0000959,81.25,0.0001197,-0.0005086,81.25,0.0005656,0.0004202,81.25,-0.0001111,-0.0018798,81.25,-2.4190497,-5.6919394,81.25,3.6398242,5.5701265
,87.5,-0.0011798,0.0008031,87.5,0.000065,0.0006006,87.5,-0.0007483,0.0003416,87.5,0.0007058,0.0012503,87.5,1.1737945,2.1548271,87.5,3.565006,-0.9643125
,93.75,0.0010334,-0.0019303,93.75,0.0000163,-0.0000096,93.75,-0.0006404,-0.0007111,93.75,0.0005461,0.0001939,93.75,0.1975151,2.3394392,93.75,-10.8581505,2.0893807
,100,-0.0007661,0.0018759,100,0.0001675,-0.0002466,100,0.0009312,0.0021031,100,-0.0001408,-0.0018975,100,-2.3179629,-4.4062581,100,12.9457636,-4.1752019
,106.25,0.0007569,-0.0005675,106.25,-0.0003201,-0.0000103,106.25,0.0003778,-0.0026366,106.25,-0.0015338,0.0017248,106.25,3.6823447,7.2976894,106.25,-6.3931766,5.9458389
,112.5,-0.0005971,-0.0006519,112.5,-0.0001721,0.0002526,112.5,-0.0000309,0.0027427,112.5,0.0004117,-0.0013885,112.5,-1.35525,-5.1208787,112.5,-1.3377706,-1.2917969
,118.75,0.0000352,0.0010184,118.75,0.0011969,-0.0008298,118.75,0.0006685,-0.0028571,118.75,0.0013119,0.0010026,118.75,1.3644282,-1.2689408,118.75,-4.7576895,-5.4717774
,125,0.0012649,0.0003056,125,-0.0010387,0.0013798,125,-0.0027119,0.0028118,125,-0.0001434,-0.0001123,125,-3.8070066,2.9121239,125,6.5022039,-6.2712164
,131.25,-0.0006346,-0.0001344,131.25,0.0007669,-0.0008775,131.25,0.0022542,-0.0013279,131.25,-0.000386,-0.0001789,131.25,2.784292,-1.7870495,131.25,6.5881691,18.0806541
,137.5,-0.0009017,-0.002753,137.5,-0.001115,0.0003755,137.5,-0.0010721,-0.0000679,137.5,-0.0002696,0.0004657,137.5,-2.103503,3.1175475,137.5,-8.1591434,-6.4101081
,143.75,0.0004538,0.0054275,143.75,0.0020179,0.0012048,143.75,-0.0000611,0.0013944,143.75,0.0016361,0.0006607,143.75,2.9918892,-2.7639186,143.75,2.5267122,-7.9483876
