C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_3_6.xdf,12.12.24,14:59:42,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0092651,0,0,0.0231596,0,0,0.0027523,0,0,225.2796173,0,0,120.4697113,0
,6.25,0.0000029,0.0000011,6.25,-0.0067162,-0.0018236,6.25,-0.0167334,0.0023754,6.25,-0.0014769,-0.0009828,6.25,-169.2475586,-21.7410069,6.25,-90.2549133,-49.1528816
,12.5,0.000018,0.0000037,12.5,0.0005481,0.0002766,12.5,-0.0000891,-0.0008053,12.5,-0.0012712,-0.0001428,12.5,14.6098509,18.7117329,12.5,9.1817694,19.5974979
,18.75,-0.0001183,0.0000037,18.75,-0.0005696,0.0006247,18.75,0.0006521,0.0004196,18.75,0.0012278,0.0000059,18.75,-8.0888433,-13.1948404,18.75,-8.1627274,-21.5281467
,25,0.00017,-0.0000854,25,0.0001948,-0.0005839,25,-0.0004036,-0.0002742,25,-0.0005501,-0.0000865,25,0.933818,11.5646963,25,0.6878619,30.3017139
,31.25,0.0000874,-0.0000433,31.25,-0.0000314,0.0005102,31.25,0.0001036,-0.0001928,31.25,0.0001848,0.0004628,31.25,6.5711846,0.1434633,31.25,21.4333305,-15.4858761
,37.5,-0.000568,0.0000553,37.5,-0.0001178,-0.0001699,37.5,0.0000656,-0.0002182,37.5,-0.0000666,-0.0002394,37.5,-9.3542786,-10.8492966,37.5,-35.4003448,41.8458405
,43.75,0.0008733,0.0001156,43.75,0.000217,-0.0000205,43.75,0.0007389,-0.0001115,43.75,-0.0007881,-0.0000206,43.75,5.531424,5.6845307,43.75,19.5056934,-48.3121986
,50,-0.0010368,0.0002342,50,-0.00114,-0.0000444,50,-0.0020461,0.0012657,50,-0.0001918,0.0003303,50,-0.8334712,10.5143785,50,-2.2708111,7.7321162
,56.25,0.0003541,-0.0007545,56.25,0.0040259,-0.0011826,56.25,0.0041533,-0.0028781,56.25,0.0041092,-0.0005511,56.25,8.3733931,-7.4773021,56.25,4.1599936,6.8723612
,62.5,-0.000102,0.0008204,62.5,-0.0042866,0.0018606,62.5,-0.0039906,0.0030181,62.5,-0.0048161,-0.0001631,62.5,-1.9614613,-16.5033073,62.5,-5.7426562,-0.1968887
,68.75,0.0011555,-0.0006835,68.75,0.0007897,-0.0003693,68.75,-0.0002678,-0.0013005,68.75,0.0034812,0.0022445,68.75,-15.8117104,22.236784,68.75,0.7499814,-0.1132543
,75,-0.0012278,0.0003631,75,0.0010966,-0.0002741,75,0.0033649,0.0007434,75,-0.0041377,-0.0028207,75,15.0591154,-1.3179444,75,-3.4430151,-19.2010307
,81.25,0.0002566,0.0008631,81.25,-0.0006231,-0.0001933,81.25,-0.0024317,-0.0007529,81.25,0.0034306,0.0009609,81.25,-4.1591296,-13.5720053,81.25,6.3113165,33.9174652
,87.5,-0.0004551,-0.0010541,87.5,-0.000238,-0.0001936,87.5,0.0001409,-0.0002394,87.5,-0.0017233,0.0002194,87.5,0.3658769,5.0306702,87.5,1.2988127,-14.5400562
,93.75,0.0028205,-0.0005011,93.75,0.000256,0.0012688,93.75,-0.000278,0.0007543,93.75,0.0016774,0.000814,93.75,-21.3359852,6.7350616,93.75,-6.2358365,-7.9043012
,100,-0.0040711,0.0028075,100,-0.0003152,-0.0016514,100,0.0016578,-0.0007201,100,-0.0024063,-0.0014189,100,34.499588,4.0613747,100,2.4983759,7.4060984
,106.25,0.0039691,-0.0047095,106.25,0.0006127,0.0009913,106.25,-0.001199,0.0001493,106.25,0.001195,0.000561,106.25,-21.915638,-3.4455681,106.25,-6.6209083,-7.85286
,112.5,-0.0005254,-0.0006153,112.5,-0.0009184,-0.0008827,112.5,0.0027768,0.0011754,112.5,-0.0020203,-0.0023945,112.5,0.571958,-11.2763691,112.5,15.1840401,19.4866276
,118.75,-0.003461,0.013635,118.75,0.001124,0.0017109,118.75,-0.0039371,-0.000332,118.75,0.0043866,0.0035454,118.75,17.3034229,4.4603443,118.75,-5.7733803,-13.6160278
,125,-0.0009587,-0.0138644,125,-0.0007183,-0.0009567,125,0.0007049,-0.0019356,125,-0.0030875,0.0000727,125,-9.602747,-15.0411797,125,-8.3010015,-10.4749594
,131.25,0.0057481,0.00181,131.25,-0.0002573,-0.0005937,131.25,0.0013785,0.0004006,131.25,0.000223,-0.0014938,131.25,6.1765504,32.3833771,131.25,12.5435266,23.414135
,137.5,-0.001913,0.0006331,137.5,0.0000756,0.0008749,137.5,-0.0005269,0.0014196,137.5,-0.0002676,0.0001736,137.5,-9.7240877,-26.7268658,137.5,-6.2966619,-11.8624697
,143.75,-0.0094748,0.0005766,143.75,-0.0014048,-0.0013546,143.75,0.0000363,-0.0020699,143.75,-0.0016176,-0.0005206,143.75,6.4017644,10.4959507,143.75,-5.2759614,-1.8530966
