C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_1_3.xdf,12.12.24,14:37:56,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0231954,0,0,-0.0269496,0,0,0.0224146,0,0,-45.6700592,0,0,78.216423,0
,6.25,0.0000023,-0.000002,6.25,0.0170164,0.000481,6.25,0.0195796,0.0010965,6.25,-0.0161988,0.0006551,6.25,28.7144642,12.0550499,6.25,-60.3278313,18.3959217
,12.5,0.0000106,0.0000184,12.5,-0.0006395,0.0002386,12.5,-0.0005931,0.0001301,12.5,0.0004556,-0.0008009,12.5,3.6077523,-5.8815708,12.5,23.5614166,9.1125555
,18.75,0.000028,-0.0000899,18.75,-0.0000064,-0.0010594,18.75,0.0002237,-0.0006248,18.75,-0.0002761,0.0008498,18.75,4.3501759,-2.9950693,18.75,-22.3893738,0.050651
,25,-0.0002063,0.0002895,25,-0.0001952,0.0011927,25,-0.0002647,0.0003849,25,0.0004048,-0.0005296,25,-9.6115141,5.2599282,25,0.7115715,-9.772912
,31.25,0.0002309,-0.0002649,31.25,0.0006045,-0.0006252,31.25,0.0002686,0.0002461,31.25,-0.000439,-0.0000158,31.25,6.2953806,-3.2478101,31.25,2.4405737,4.683136
,37.5,0.0000322,0.000016,37.5,-0.0006133,-0.0000028,37.5,0.0002085,-0.0009073,37.5,-0.0002316,0.0001566,37.5,-0.7390718,-0.8990632,37.5,4.2338305,-1.1872901
,43.75,0.0002091,0.0001856,43.75,0.0007174,0.0004559,43.75,0.0004172,0.0022867,43.75,0.0011585,-0.0010495,43.75,1.4118134,2.7760983,43.75,-8.6178064,-5.2512226
,50,-0.000712,-0.0005656,50,-0.0002737,0.0001202,50,-0.0015505,-0.0028654,50,-0.0014548,0.0029628,50,-3.5282536,-1.7878659,50,12.2226152,9.1033297
,56.25,0.0005297,0.0008433,56.25,-0.0020854,-0.0026947,56.25,-0.0011186,-0.0001826,56.25,0.000733,-0.0055713,56.25,1.4046923,0.5919025,56.25,-8.8125019,-11.838274
,62.5,0.0001493,-0.0007489,62.5,0.0023853,0.0031193,62.5,0.002553,0.0015341,62.5,-0.0003948,0.0058791,62.5,0.8042774,-2.3111341,62.5,-4.3219509,7.2543397
,68.75,-0.0012135,0.0000705,68.75,0.0000517,-0.0007699,68.75,0.0001307,-0.0002073,68.75,0.0002775,-0.0023615,68.75,0.7450176,4.5133419,68.75,5.0356517,-3.6924262
,75,0.0017283,0.0010309,75,-0.0005624,0.0002877,75,-0.0018151,0.0006622,75,0.0019751,0.0002384,75,-2.2429745,-3.2974904,75,1.5808383,10.452714
,81.25,-0.0003821,-0.0015681,81.25,-0.00006,-0.0004589,81.25,0.0012789,-0.0008043,81.25,-0.00258,-0.0001277,81.25,2.9608486,2.8439677,81.25,6.9956393,-7.5745139
,87.5,-0.0007158,0.001522,87.5,0.0005586,0.0001755,87.5,-0.0001618,-0.000219,87.5,0.0011777,0.0004247,87.5,-2.1241252,-5.4733329,87.5,-8.9515314,-8.9294033
,93.75,0.000443,-0.000355,93.75,-0.0007244,-0.000168,93.75,-0.0009192,0.0008486,93.75,-0.0000588,-0.001012,93.75,-0.8605,4.1469431,93.75,-2.106549,11.5669794
,100,0.0003432,-0.0017198,100,0.0001966,0.0000576,100,0.0020004,-0.0011945,100,-0.0017435,0.0009926,100,5.2360454,1.1491345,100,2.6551044,-4.6744161
,106.25,-0.0005217,0.0019245,106.25,-0.0001218,-0.0000146,106.25,-0.0015859,0.0007077,106.25,0.0015143,-0.0006262,106.25,-6.8711119,-0.3315989,106.25,2.6904538,5.7308011
,112.5,0.0003821,-0.0010832,112.5,0.0012663,0.0001352,112.5,0.0015083,0.0011077,112.5,0.0009859,-0.0001876,112.5,0.6375823,-2.416311,112.5,-1.3294989,-2.1219301
,118.75,-0.0011473,0.0007149,118.75,-0.0022154,-0.0005209,118.75,-0.0009739,-0.0032433,118.75,-0.0033644,0.0007456,118.75,1.6201415,3.3913312,118.75,1.3171359,-0.9965079
,125,0.0016303,0.000876,125,0.0013791,0.0006519,125,-0.0004556,0.0033691,125,0.0031857,-0.000718,125,1.8769125,-3.9051037,125,-4.6606331,-5.6731524
,131.25,-0.0017343,-0.0015232,131.25,-0.0004677,-0.0000651,131.25,-0.0005245,-0.0014645,131.25,-0.0009466,0.0007596,131.25,-2.1430757,-0.9712273,131.25,3.9510961,8.3443918
,137.5,0.0013903,0.0021112,137.5,0.0002621,0.0004241,137.5,0.0004117,0.0002983,137.5,0.0003547,0.0000355,137.5,3.0957506,3.7304859,137.5,-0.6944131,-7.211627
,143.75,-0.0000286,-0.0041261,143.75,-0.0007106,0.0006028,143.75,-0.0007725,-0.0010222,143.75,-0.0011012,0.0011204,143.75,-4.0887232,0.1030041,143.75,0.3919239,8.8455276
