C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_3_4.xdf,12.12.24,15:10:32,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0113374,0,0,0.0103776,0,0,0.01169,0,0,-72.9473724,0,0,85.2870636,0
,6.25,0.0000077,0.0000018,6.25,-0.0087981,0.001123,6.25,-0.0072892,-0.0006889,6.25,-0.0085403,-0.0010271,6.25,55.0899429,32.0303154,6.25,-86.866951,-21.3384838
,12.5,-0.0000153,-0.0000237,12.5,0.0013,-0.0007869,12.5,0.0002679,-0.0004511,12.5,0.0007788,0.0003735,12.5,-7.599484,5.4527912,12.5,20.8613205,24.9002533
,18.75,0.0000629,0.0000194,18.75,-0.0004399,0.0004047,18.75,-0.0003069,0.0007407,18.75,-0.0007613,0.0005307,18.75,4.3649836,-19.0213661,18.75,9.0754766,-26.7432022
,25,-0.0001187,-0.0001647,25,0.0000428,-0.0005602,25,-0.0006368,-0.0008977,25,0.0003924,-0.0010672,25,1.7599726,7.4181418,25,-3.1841893,20.0018616
,31.25,-0.0001563,0.0005943,31.25,-0.0003349,0.0003199,31.25,0.0008756,0.0007361,31.25,-0.0005858,0.0004116,31.25,-5.8456025,-2.5451615,31.25,-4.7281322,-11.2246456
,37.5,0.0004069,-0.000622,37.5,0.000157,0.0001719,37.5,-0.0005647,-0.0001824,37.5,0.0005769,0.0001742,37.5,5.7290287,-0.0550011,37.5,2.554925,4.4085937
,43.75,0.0000447,0.0003985,43.75,-0.0000354,-0.0000297,43.75,0.0006342,0.0009973,43.75,0.0000026,-0.0007176,43.75,-5.9183936,1.5046396,43.75,11.5092869,9.7976027
,50,-0.0012079,-0.0005582,50,-0.0004481,-0.0002599,50,-0.000613,-0.0020154,50,-0.0010136,0.0014961,50,6.7248635,-1.6961867,50,-4.1449561,-11.3379278
,56.25,0.0023548,0.0004681,56.25,0.0030946,-0.0010492,56.25,0.002038,-0.0008867,56.25,0.0029089,-0.0013101,56.25,-0.3652421,-1.8326669,56.25,-8.1153488,-3.3999007
,62.5,-0.002035,-0.0000648,62.5,-0.00352,0.0014818,62.5,-0.002161,0.0029803,62.5,-0.0029633,-0.0004264,62.5,-1.1816388,1.5904437,62.5,1.628708,-0.1901676
,68.75,-0.0003855,-0.0004926,68.75,-0.0000322,-0.0001412,68.75,-0.0011487,-0.0013897,68.75,0.0018917,0.0031915,68.75,-6.0050673,-0.4579535,68.75,2.0701478,11.9475594
,75,0.0017489,0.00193,75,0.0010215,0.0000449,75,0.0025504,0.0007801,75,-0.0022838,-0.0032547,75,5.9912682,5.5153646,75,-3.1391141,-6.9581547
,81.25,-0.0010239,-0.0024751,81.25,0.0004765,-0.0003017,81.25,-0.0006391,0.0000978,81.25,0.0018696,0.0002964,81.25,0.5592216,-6.3216467,81.25,3.6976726,-7.6455989
,87.5,0.0016889,0.0012329,87.5,-0.0009372,0.0005444,87.5,-0.0010188,-0.00176,87.5,-0.0016726,0.0028753,87.5,-2.7430887,0.1285743,87.5,1.5357928,11.0367851
,93.75,-0.0012138,-0.0003614,93.75,0.0005762,-0.0004902,93.75,-0.0003836,0.0001087,93.75,0.0023002,-0.0005592,93.75,-1.5319425,2.4362743,93.75,-1.9427677,1.1034892
,100,-0.0018716,-0.0019727,100,-0.0000296,-0.0010562,100,0.0031913,0.0032079,100,-0.0030563,-0.0059823,100,7.0322099,-1.0985208,100,-6.019711,-9.6697245
,106.25,0.0031556,0.004738,106.25,-0.0004697,0.0018304,106.25,-0.0031656,-0.0036539,106.25,0.002676,0.0067849,106.25,-5.3277812,0.5664318,106.25,5.7783904,7.6127553
,112.5,-0.00357,-0.0047405,112.5,-0.0000546,-0.0017264,112.5,0.0011452,0.0012987,112.5,-0.0017506,-0.0037381,112.5,-2.1552122,0.633774,112.5,-0.7327242,-0.6265388
,118.75,0.0057753,0.0098339,118.75,0.0008301,0.00151,118.75,-0.0008911,-0.00006,118.75,0.0019814,0.0026637,118.75,7.2607813,-0.4014556,118.75,-0.3104816,-2.3861117
,125,-0.0055336,-0.013403,125,0.0000343,-0.0001379,125,0.0011145,0.0016076,125,-0.0004632,-0.0019831,125,-4.854352,-1.5963336,125,-2.4993799,2.2296848
,131.25,-0.0010115,0.008309,131.25,-0.0008157,-0.0003238,131.25,-0.0006039,-0.0015299,131.25,-0.0008226,0.0010793,131.25,0.2753996,0.2807615,131.25,3.7267585,-3.7719543
,137.5,0.0073289,-0.0052212,137.5,0.0010367,0.0002568,137.5,0.0013447,-0.00018,137.5,0.0002128,-0.0002391,137.5,0.8602795,0.5939972,137.5,0.8569695,4.1407347
,143.75,-0.0055331,0.0039628,143.75,-0.0011857,-0.0028922,143.75,-0.0007458,-0.0013098,143.75,-0.0008282,-0.0021721,143.75,-0.1299778,2.8623712,143.75,-4.1090097,0.6272982
