C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_1_5.xdf,12.12.24,14:29:26,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.039295,0,0,0.0104268,0,0,-0.0000539,0,0,50.2333603,0,0,-118.1659622,0
,6.25,-0.0000056,0.0000006,6.25,0.027626,0.0027919,6.25,-0.0078368,0.0028076,6.25,-0.0000725,-0.0000603,6.25,-44.9400177,11.6574583,6.25,88.7415009,-11.6317329
,12.5,0.0000195,0.0000047,12.5,0.0001888,-0.0009105,12.5,0.0003934,-0.0008828,12.5,-0.000255,0.0000532,12.5,13.3533258,-11.1361418,12.5,-13.0620184,14.7973566
,18.75,0.0000194,-0.000022,18.75,-0.0003193,-0.0001321,18.75,-0.0001927,-0.0003434,18.75,0.0000306,0.0004681,18.75,-5.6384344,2.8315492,18.75,1.176149,-21.0805092
,25,0.000019,0.0000615,25,0.0004282,0.000184,25,0.0003422,0.0002457,25,0.0005683,-0.0000497,25,2.5355823,-1.6933749,25,12.3008394,18.2135258
,31.25,0.0000396,0.0000383,31.25,-0.0001359,-0.0000014,31.25,-0.0004005,0.0000194,31.25,0.000059,0.0001452,31.25,-2.0482068,1.7525533,31.25,1.8650669,6.2969589
,37.5,-0.0001138,-0.0001137,37.5,0.0002612,-0.0003688,37.5,0.0011879,0.0000213,37.5,-0.0002725,-0.0010487,37.5,7.0448947,3.6091747,37.5,-20.4832306,-31.8202
,43.75,0.0000805,-0.0002718,43.75,-0.0006944,0.0003194,43.75,-0.0007124,-0.00053,43.75,-0.0019483,0.0005811,43.75,-17.1824532,-3.6981699,43.75,23.2834015,26.5288582
,50,-0.0000196,0.0004584,50,-0.0003485,0.0008853,50,-0.0024963,0.0025429,50,0.0043101,0.0008805,50,20.9085045,-5.6825662,50,-9.9668503,-9.6923485
,56.25,-0.0001015,-0.000029,56.25,0.0037722,-0.0048246,56.25,0.0059436,-0.0065363,56.25,-0.0011671,-0.0033772,56.25,-9.2856216,5.9282889,56.25,-6.3734264,10.4824371
,62.5,0.0004813,-0.0003797,62.5,-0.0041411,0.005303,62.5,-0.0049652,0.005736,62.5,-0.0022309,0.0038576,62.5,-2.7213769,2.064218,62.5,9.1932678,-14.68365
,68.75,-0.0007156,0.0001341,68.75,0.0006404,-0.0012885,68.75,0.0010104,-0.0014606,68.75,0.00108,-0.0008327,68.75,2.455687,-1.4889532,68.75,-3.7485156,2.703547
,75,0.0002923,0.0003787,75,0.0008914,-0.0003145,75,0.0005194,0.0013443,75,-0.0001462,-0.0019321,75,2.8670285,-0.6450429,75,1.5798442,11.0976515
,81.25,-0.0008208,-0.0007282,81.25,-0.0005027,0.0002915,81.25,-0.0005801,-0.0017455,81.25,-0.0000653,0.0021091,81.25,-10.7575331,0.4586049,81.25,8.4016399,-9.8034306
,87.5,0.0010943,0.0002892,87.5,0.0003161,-0.000583,87.5,0.0005031,0.0001183,87.5,-0.0002703,-0.0005871,87.5,9.8570948,-1.5304186,87.5,-21.2075195,-1.5991173
,93.75,0.0003795,0.0000061,93.75,-0.0005421,0.0007834,93.75,0.0002333,0.0002502,93.75,0.0001408,0.0004951,93.75,-1.948475,6.3443441,93.75,19.1536636,10.8345537
,100,0.0000924,0.0001681,100,0.0002299,-0.0007489,100,-0.0011532,0.000104,100,0.000444,-0.0008051,100,12.4647331,-10.5793056,100,-7.6252799,0.7445355
,106.25,-0.0006375,-0.0013872,106.25,0.0001762,0.0007484,106.25,0.0007582,0.0001385,106.25,-0.0001388,0.0007078,106.25,-18.2045708,5.4395876,106.25,-0.1115425,-11.5453873
,112.5,-0.0015885,0.0021945,112.5,-0.0006494,-0.0015238,112.5,0.0010573,-0.0023853,112.5,-0.0021385,-0.0010738,112.5,-2.6265912,-1.1096511,112.5,-6.6893997,0.9191058
,118.75,0.0026279,0.0003601,118.75,0.0011709,0.0025983,118.75,-0.0036819,0.0048661,118.75,0.0050336,0.0016926,118.75,12.7201157,1.8471217,118.75,10.9315176,3.7185707
,125,-0.0010071,-0.0015314,125,-0.0000042,-0.0023063,125,0.0053735,-0.0025103,125,-0.0038647,-0.0023107,125,-2.8874524,-9.1000967,125,-9.0412445,0.0884351
,131.25,-0.0002445,-0.0000272,131.25,-0.0004651,0.0004662,131.25,-0.0036583,-0.000575,131.25,0.001197,0.0013613,131.25,5.1737642,18.4419098,131.25,10.312912,0.2593355
,137.5,0.0020657,-0.0002581,137.5,-0.000247,0.0000403,137.5,0.0008253,0.0007698,137.5,-0.0004652,-0.0003553,137.5,-12.9697142,-14.7242575,137.5,-5.6110382,-0.0721175
,143.75,-0.0038338,0.0022005,143.75,0.002716,0.0011274,143.75,0.0003271,0.0021683,143.75,0.0023957,0.0008251,143.75,6.9774556,5.7173924,143.75,2.887392,-1.839949
