C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_1_7.xdf,12.12.24,14:15:06,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0123306,0,0,-0.0038885,0,0,0.0477173,0,0,315.0771179,0,0,-142.4411926,0
,6.25,-0.0000116,0.0000022,6.25,0.0084255,-0.0005283,6.25,0.0026186,0.0018426,6.25,-0.0344826,-0.0058479,6.25,-236.4983673,31.2229233,6.25,125.5048599,-54.7342949
,12.5,0.0000255,-0.0000041,12.5,0.0003999,0.0006548,12.5,-0.0001802,0.0000041,12.5,0.0010637,0.0014038,12.5,-3.5557299,30.6545086,12.5,7.6967301,28.43297
,18.75,0.0000178,-0.000095,18.75,0.0000976,-0.0005076,18.75,0.0007305,-0.000477,18.75,-0.0011954,0.0007095,18.75,-11.5027781,-52.6976471,18.75,-44.0755882,6.9076872
,25,-0.0000079,0.0001567,25,-0.0001904,0.0003544,25,-0.0005178,0.0003298,25,0.0016305,-0.0008422,25,45.9796104,50.1239891,25,2.4869242,3.1740477
,31.25,-0.0001171,-0.0001039,31.25,0.000051,-0.0000262,31.25,0.0000018,-0.0003602,31.25,-0.0006492,0.0006752,31.25,-18.103384,-27.0159225,31.25,22.9073486,4.3977146
,37.5,0.0000842,0.00023,37.5,-0.0003236,-0.0000455,37.5,-0.0001302,-0.0006375,37.5,-0.0005883,0.0002863,37.5,35.7986832,-24.6692104,37.5,-73.79599,-13.7494125
,43.75,0.0001552,-0.0003123,43.75,0.0008254,0.0001921,43.75,0.0004312,0.002169,43.75,0.0014938,-0.0011047,43.75,-59.9540062,35.7710991,43.75,99.3038177,-3.976001
,50,-0.0002031,0.0001629,50,0.0001165,-0.0003749,50,0.0017517,-0.0020556,50,-0.0014926,0.0006031,50,28.3729687,-6.9929738,50,-34.4601784,9.6580906
,56.25,0.0003115,0.0004228,56.25,-0.0037625,-0.0000618,56.25,-0.0058406,0.0003605,56.25,-0.0013953,0.000408,56.25,-0.7737454,10.3195267,56.25,-4.6373043,-17.7374897
,62.5,-0.0003068,-0.001513,62.5,0.0044803,0.0006219,62.5,0.0053259,0.0004275,62.5,0.0032573,0.0001834,62.5,1.3457782,-17.6836338,62.5,-5.2182994,13.3759909
,68.75,0.0001443,0.0014317,68.75,-0.0019157,-0.0004096,68.75,-0.0018486,-0.0010773,68.75,-0.0016446,0.0015224,68.75,17.4654961,8.6894512,68.75,-24.1016197,-11.3173113
,75,-0.0005941,0.0007574,75,0.0015337,-0.0001944,75,0.0013381,0.0022549,75,0.0007025,-0.0046332,75,-71.4338303,5.3369479,75,84.7368774,40.9084435
,81.25,0.000943,-0.0017241,81.25,-0.0012405,-0.0000338,81.25,-0.0011049,-0.0022812,81.25,-0.0006818,0.0032499,81.25,67.4466171,-8.0978098,81.25,-75.5713806,-36.5138664
,87.5,-0.0000839,0.0008208,87.5,-0.000111,0.0007039,87.5,0.0000154,0.0018845,87.5,0.0005983,-0.0006418,87.5,-20.9983826,-37.8556366,87.5,25.9185448,6.930582
,93.75,-0.0017218,-0.0019936,93.75,0.0005362,-0.0005422,93.75,-0.0003935,-0.0014282,93.75,0.0001719,0.0007784,93.75,3.3846538,39.2870522,93.75,-10.5728569,4.8564057
,100,0.0017184,0.0023195,100,0.0004457,-0.0003921,100,0.0016927,0.0013715,100,-0.0008407,-0.0019022,100,5.9425006,6.7099705,100,2.3645086,-2.475234
,106.25,0.0001384,0.0011515,106.25,-0.0009364,0.0006272,106.25,-0.0009791,-0.0016213,106.25,-0.0001306,0.0021698,106.25,-8.2196579,-13.6702003,106.25,7.2911396,-11.5123882
,112.5,-0.0005215,-0.0023391,112.5,0.000882,-0.0013511,112.5,0.0017686,0.0002103,112.5,0.0002179,-0.0025208,112.5,-0.7327198,26.4499798,112.5,-4.3084817,22.0505962
,118.75,-0.0018408,-0.0026665,118.75,-0.0008627,0.0020681,118.75,-0.0020948,0.0008486,118.75,-0.0000591,0.0031514,118.75,-7.4300132,-25.4497929,118.75,-6.7125635,-12.2262745
,125,0.0045043,0.006658,125,0.0002565,-0.0007711,125,-0.0005852,0.0000107,125,0.0010543,-0.0011862,125,-4.1098742,27.8405704,125,6.5772209,8.0530596
,131.25,-0.0042873,-0.0039476,131.25,0.0006934,0.0001371,131.25,0.0008719,0.0016131,131.25,-0.0001239,-0.0008458,131.25,18.4886742,-71.0555344,131.25,-2.4682276,-21.1881313
,137.5,0.0029563,0.0039189,137.5,-0.0012799,-0.0006152,137.5,-0.0009592,-0.0021903,137.5,-0.0005374,0.0002439,137.5,5.1341939,43.7248726,137.5,8.461133,10.4979038
,143.75,-0.0008306,-0.0096481,143.75,0.0028928,0.0019814,143.75,0.0006568,0.0028254,143.75,0.0020279,0.0019665,143.75,12.5814095,23.8144112,143.75,-13.2613411,-0.4699229
