C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_1.xdf,12.12.24,16:21:47,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0346065,0,0,0.0082404,0,0,-0.0016795,0,0,28.7023277,0,0,55.2272835,0
,6.25,-0.00001,0.0000102,6.25,-0.0244271,0.0053377,6.25,-0.0054983,0.0078884,6.25,-0.0001944,0.0056564,6.25,-20.0013161,41.6666832,6.25,-5.9367137,-10.9453745
,12.5,0.0000358,-0.0000338,12.5,0.0004664,-0.0003274,12.5,-0.0012369,-0.003388,12.5,0.0021231,-0.0028053,12.5,-0.9453441,-29.3981285,12.5,-62.83992,-12.6348171
,18.75,-0.0002254,-0.000008,18.75,0.0002571,-0.0003946,18.75,0.0016325,0.0007333,18.75,-0.0014656,0.0003664,18.75,-0.3775494,1.9722915,18.75,45.0413933,45.3153458
,25,-0.0000889,-0.000152,25,-0.001606,-0.00086,25,-0.0006755,-0.0000009,25,0.0004756,0.001011,25,3.3496776,5.7744493,25,-11.9441338,-35.3166618
,31.25,0.0016494,0.0006369,31.25,0.0013068,0.0002519,31.25,0.0000556,-0.0011544,31.25,0.0006984,-0.0006438,31.25,2.2316248,-5.6158328,31.25,-25.8020077,5.758029
,37.5,-0.0015808,-0.0013304,37.5,-0.0014462,-0.0003958,37.5,-0.0014149,0.0013128,37.5,-0.0004793,-0.0001808,37.5,-14.5782499,8.0786743,37.5,80.6307831,10.9678984
,43.75,0.0001609,0.0003399,43.75,0.0010053,-0.0000336,43.75,0.0007851,-0.0031387,43.75,-0.0002965,0.0012073,43.75,16.2102394,-16.5598698,43.75,-89.5442886,-20.7138176
,50,-0.002195,0.002464,50,-0.0002103,-0.0000953,50,0.0036904,0.0042859,50,-0.0003359,-0.0041345,50,-3.6900597,18.1602268,50,29.6842709,7.6281881
,56.25,0.0003125,-0.0032491,56.25,0.0025236,0.0022342,56.25,-0.0025085,0.0013318,56.25,0.0030618,0.0039255,56.25,-5.1851325,-8.5551405,56.25,1.6060178,10.0301485
,62.5,0.0098893,0.0009673,62.5,-0.0038864,-0.00195,62.5,-0.0023056,-0.0048972,62.5,-0.0032264,-0.0004565,62.5,10.0577259,-2.9944975,62.5,-12.4122791,-5.6397524
,68.75,-0.0104157,0.0005164,68.75,0.0017116,-0.0002217,68.75,0.0025644,0.0014534,68.75,-0.0004448,-0.0012235,68.75,-18.206234,11.2836828,68.75,19.0376644,0.1786551
,75,0.0042021,-0.0018582,75,-0.0004726,0.0005333,75,-0.0020467,0.0001366,75,0.0015176,0.0006962,75,12.0610647,-9.1146097,75,-8.999999,3.6826019
,81.25,-0.006514,-0.0018628,81.25,-0.0003518,-0.0003098,81.25,0.0031801,-0.0005535,81.25,-0.0020174,0.0000319,81.25,5.558269,-0.1612651,81.25,7.9023318,-16.6076851
,87.5,0.008362,0.0095755,87.5,-0.0005021,0.0002535,87.5,-0.003992,0.0020934,87.5,0.0025992,-0.0016553,87.5,-16.49613,8.8091497,87.5,-10.7640514,19.849205
,93.75,-0.0052596,-0.0086243,93.75,0.0034015,-0.0001705,93.75,0.0024499,-0.0010478,93.75,0.0018106,0.003098,93.75,16.9948788,-13.3033457,93.75,21.5802345,-9.2847099
,100,0.0004571,0.0028361,100,-0.0032698,0.0004476,100,-0.0013122,-0.001996,100,-0.0049313,-0.0010163,100,-6.8749785,9.2823782,100,-33.888298,-6.0489211
,106.25,-0.0037558,-0.0016156,106.25,0.0016726,-0.0007254,106.25,0.0008391,0.0015609,106.25,0.0028055,0.000106,106.25,-3.670707,-7.800375,106.25,23.4945793,4.3905907
,112.5,0.0147706,-0.0006618,112.5,0.0001649,0.0009226,112.5,0.0031931,0.0023269,112.5,-0.0012184,-0.0015632,112.5,5.0223193,2.6109767,112.5,-1.167297,2.1109593
,118.75,0.0069825,0.0077835,118.75,-0.0020935,-0.0007,118.75,-0.0066758,-0.0036204,118.75,0.0022762,0.0003891,118.75,-5.1552372,15.8664627,118.75,-16.5647106,3.7329957
,125,-0.0340327,-0.0062414,125,0.0006603,-0.0005193,125,0.0044971,0.0001887,125,-0.003854,0.0000803,125,0.5063842,-15.1540203,125,12.2871666,0.7636083
,131.25,0.0159194,-0.0018996,131.25,0.00061,0.0006988,131.25,0.0010982,0.000741,131.25,0.0005696,0.0019342,131.25,5.2467566,-6.8347063,131.25,-2.8210964,-1.1838809
,137.5,-0.0083549,-0.0037478,137.5,-0.001282,-0.0003466,137.5,-0.0038237,-0.0004454,137.5,0.0026617,-0.0020454,137.5,-1.127944,16.9389191,137.5,13.7311821,-7.1021333
,143.75,0.0072284,0.0134716,143.75,-0.0027505,-0.0019446,143.75,0.0020446,-0.0035717,143.75,-0.0070056,-0.0003764,143.75,-4.1446996,-11.2264471,143.75,-17.114275,11.0127058
