C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_1_4.xdf,12.12.24,14:32:32,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0064607,0,0,-0.0075088,0,0,-0.0053025,0,0,33.256752,0,0,-46.6585579,0
,6.25,0.0000031,0.0000001,6.25,0.0041656,0.0015125,6.25,0.0051858,0.0010662,6.25,0.0043214,-0.0000878,6.25,-24.2392197,-10.232008,6.25,32.7864571,14.0302753
,12.5,-0.0000002,0.0000052,12.5,0.000321,-0.0001956,12.5,-0.0002494,-0.0009101,12.5,-0.000463,0.0004801,12.5,0.6928563,4.4617896,12.5,4.0769892,-10.3834429
,18.75,0.0000498,-0.0000513,18.75,0.000442,-0.0001473,18.75,0.0005441,0.0002469,18.75,-0.0002695,-0.0009693,18.75,0.1216212,-4.6725454,18.75,4.7118721,13.8979435
,25,-0.0000903,0.0001413,25,-0.0005154,0.0000578,25,-0.0001988,0.0003079,25,0.0000406,0.0007253,25,0.7452047,6.2117891,25,-9.3918056,-11.6816597
,31.25,0.0001242,-0.0002267,31.25,0.0000636,-0.0001995,31.25,0.0000988,-0.0007141,31.25,0.0002244,0.0004614,31.25,-0.7975172,-3.4547188,31.25,-6.6196804,7.9741607
,37.5,-0.0001145,0.0001504,37.5,0.000129,-0.0000271,37.5,-0.00012,0.0002003,37.5,-0.0002405,-0.0010522,37.5,1.3000669,1.2548248,37.5,3.8677022,-2.4388356
,43.75,0.0000222,0.0001001,43.75,0.0000937,0.00025,43.75,0.0009505,0.000371,43.75,-0.0003596,0.001266,43.75,-2.0148733,-0.9204734,43.75,4.7848115,-2.5438166
,50,0.0000316,0.0000192,50,0.0007051,0.0009238,50,-0.0005257,0.0002512,50,0.0007683,0.0003143,50,0.4869982,2.7161565,50,-0.9665045,-0.4262634
,56.25,0.0000276,-0.0003086,56.25,-0.0033185,-0.003934,56.25,-0.0031847,-0.0027774,56.25,-0.0006152,-0.0047052,56.25,-0.3441474,-3.051295,56.25,10.430418,-1.9711066
,62.5,-0.0008129,-0.0004125,62.5,0.0037084,0.0041079,62.5,0.0037399,0.0036735,62.5,0.0012163,0.0047195,62.5,1.098024,1.5331118,62.5,-15.4335957,5.0745583
,68.75,0.0015945,0.00146,68.75,-0.0012762,-0.0014293,68.75,-0.0008376,-0.0015084,68.75,-0.0013743,-0.0006661,68.75,-0.8600774,-0.2417843,68.75,4.2511497,0.343691
,75,-0.0013814,-0.00111,75,0.00023,0.0004259,75,-0.0003324,0.0001762,75,0.0010675,0.0001054,75,0.8895809,-1.5477499,75,-7.2431159,-9.6332293
,81.25,0.000183,0.0005638,81.25,-0.0000724,-0.000414,81.25,0.0006102,-0.0004017,81.25,-0.0009354,-0.0002076,81.25,-2.1959829,2.4788079,81.25,14.5135927,9.4426079
,87.5,0.001267,-0.0009869,87.5,-0.0003264,0.0009486,87.5,-0.0002599,0.0011277,87.5,0.0001775,-0.0006934,87.5,2.5553281,0.3255068,87.5,-8.6527014,-4.0733161
,93.75,-0.0019147,0.0017858,93.75,0.0005428,-0.0014594,93.75,0.0009002,0.0001343,93.75,-0.0000864,-0.0010107,93.75,-0.7243204,-1.7224349,93.75,1.3805506,2.6768413
,100,0.000923,-0.0017272,100,-0.0003522,0.0006986,100,-0.0019873,-0.0017181,100,0.0006226,0.0021286,100,-0.2073002,0.0762489,100,5.2498436,-3.8290801
,106.25,0.0006073,0.0004288,106.25,0.0000835,0.0000649,106.25,0.0010901,-0.0000712,106.25,-0.0003798,-0.0001639,106.25,-0.6766744,0.0542007,106.25,-7.2066975,5.6854157
,112.5,0.0017056,0.0003973,112.5,-0.0000818,0.0007687,112.5,-0.0017605,0.0016384,112.5,0.0009212,0.0006332,112.5,1.6862835,0.3861881,112.5,-1.2548872,-6.2424631
,118.75,-0.0044919,-0.001425,118.75,-0.0005905,-0.0014973,118.75,0.0014324,-0.0016385,118.75,-0.00183,-0.0019651,118.75,-2.3680413,-0.246318,118.75,0.3477516,2.4867008
,125,0.0027483,0.0005219,125,0.0010829,0.0005945,125,0.0007916,0.0019149,125,0.0011684,0.0003636,125,2.4868391,-0.1200021,125,7.1020842,5.1473098
,131.25,-0.0009194,0.0023939,131.25,-0.0004929,0.0000824,131.25,-0.0010696,-0.0014643,131.25,-0.0001493,0.0005958,131.25,-1.8305416,0.7448535,131.25,3.0226851,-7.9277096
,137.5,-0.0021963,-0.0013581,137.5,0.000106,0.0007285,137.5,-0.0000747,0.0007668,137.5,0.0000053,0.0001921,137.5,0.848114,-1.4384069,137.5,-11.8969688,1.8917594
,143.75,0.0045115,-0.0023317,143.75,0.0011518,0.0001747,143.75,-0.0001318,-0.0003155,143.75,0.0010686,0.0004328,143.75,-0.4401414,1.5990745,143.75,8.7980776,4.9474292
