C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_3_2.xdf,12.12.24,15:20:49,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0055642,0,0,-0.0299873,0,0,0.0270102,0,0,29.3335724,0,0,-25.6465302,0
,6.25,-0.0000038,0.0000045,6.25,-0.0036384,0.001996,6.25,0.0211572,0.0040182,6.25,-0.0189696,-0.0020342,6.25,-12.4588289,-23.4847088,6.25,30.7378521,37.950489
,12.5,0.0000188,-0.0000242,12.5,0.0001047,-0.0006436,12.5,0.0000094,-0.0013823,12.5,-0.000728,0.0008816,12.5,-7.0876861,28.8110008,12.5,-28.3617458,-19.1324806
,18.75,-0.0000123,-0.0001655,18.75,-0.0003896,-0.0004116,18.75,-0.0003115,0.0003293,18.75,0.0011955,-0.0002518,18.75,-2.9709954,-16.9382858,18.75,19.898468,4.4700198
,25,-0.0000644,0.0005289,25,-0.0001149,0.000443,25,0.0004927,-0.000187,25,-0.0006166,0.0003701,25,3.3949339,5.1459608,25,1.227751,1.1936238
,31.25,0.0000847,-0.0003254,31.25,0.0001714,-0.0003118,31.25,0.0001456,0.0001453,31.25,-0.0002596,-0.000396,31.25,-3.3527644,-4.8391595,31.25,-7.8612771,2.5579686
,37.5,0.0000041,-0.000047,37.5,0.0000157,0.0005042,37.5,-0.0005316,-0.0007561,37.5,0.000322,0.0008134,37.5,2.773984,6.924418,37.5,7.9478126,-12.6133451
,43.75,-0.0003615,0.0001373,43.75,-0.0002041,-0.0005576,43.75,-0.0008325,-0.0000897,43.75,0.0009537,-0.0006406,43.75,0.2037303,1.3546395,43.75,-15.9195042,2.3201075
,50,0.001822,0.000036,50,0.0014434,0.0003849,50,0.0027893,0.0013955,50,-0.0004134,0.0000252,50,-1.355943,-11.3932199,50,19.1643772,12.7385635
,56.25,-0.0018887,-0.0007628,56.25,-0.0043313,0.000075,56.25,-0.0046491,-0.000544,56.25,-0.0034415,0.0003232,56.25,-1.0063879,10.6403742,56.25,-9.199543,-10.5134706
,62.5,-0.0020707,0.0002852,62.5,0.0040393,-0.00073,62.5,0.0042661,-0.0004571,62.5,0.0036752,-0.0003821,62.5,5.3013153,-4.4696846,62.5,-4.887589,4.280745
,68.75,0.0057281,0.001166,68.75,-0.0010051,0.0010038,68.75,-0.0018864,-0.0001501,68.75,0.0009989,0.0006134,68.75,-10.4276533,2.2786596,68.75,9.3716869,-8.5301657
,75,-0.0061263,-0.0004446,75,0.0004304,-0.0018893,75,0.0017101,-0.0000534,75,-0.0037486,-0.0018446,75,6.3931293,-7.5584407,75,2.5760419,18.5059395
,81.25,0.0040626,-0.0018076,81.25,-0.0008015,0.0022646,81.25,-0.001985,0.0006733,81.25,0.0024771,0.0019934,81.25,5.397388,9.409584,81.25,-17.1716671,-13.7200422
,87.5,-0.0021144,0.0027974,87.5,0.00077,-0.0006019,87.5,0.0019167,-0.0000907,87.5,-0.0004944,-0.0004621,87.5,-4.345943,-5.4504099,87.5,13.3854856,5.9132724
,93.75,0.0023723,-0.0019293,93.75,-0.0003124,-0.0003686,93.75,-0.0016315,0.0007672,93.75,0.0011679,-0.0015677,93.75,-15.9743853,-2.0540664,93.75,-0.6107317,-2.8848667
,100,-0.0029878,-0.0002922,100,-0.0005462,-0.000899,100,0.0014935,-0.0028827,100,-0.0035224,0.0021753,100,25.4946461,11.0341549,100,-14.3795052,-1.322104
,106.25,0.0021655,0.0010579,106.25,0.0008316,0.0016745,106.25,-0.0016515,0.0025656,106.25,0.0037515,-0.000264,106.25,-8.8266516,-2.5798244,106.25,28.1876831,-10.7459011
,112.5,-0.0020179,0.0006424,112.5,-0.0000466,-0.0014062,112.5,0.000097,-0.0015674,112.5,-0.0009841,-0.0010113,112.5,-11.9302139,-8.5042639,112.5,-21.022747,11.37428
,118.75,0.0025138,-0.0007315,118.75,-0.0001595,0.0009254,118.75,0.0020068,0.0013412,118.75,-0.000766,0.0007182,118.75,11.5007648,4.1800332,118.75,4.6929302,-1.0849144
,125,0.0018033,-0.000223,125,-0.0009275,0.0003277,125,-0.0034667,-0.000307,125,0.0001004,0.0002469,125,5.9852686,3.3351715,125,6.7305641,3.3147004
,131.25,-0.0068856,-0.0029928,131.25,0.0004348,-0.0003616,131.25,0.001918,-0.0005664,131.25,0.0006849,-0.0000003,131.25,-8.6908398,-1.0118351,131.25,-14.5727472,-3.7302608
,137.5,0.0058314,0.0030476,137.5,0.0006795,-0.0000039,137.5,0.0003029,0.0007919,137.5,-0.0005787,-0.0006499,137.5,0.7824173,-3.2505109,137.5,12.8198776,4.4023695
,143.75,-0.0073176,0.0049264,143.75,0.0014584,-0.0021314,143.75,0.0011919,-0.0006993,143.75,0.0011793,-0.0012773,143.75,-0.7425631,-0.3236048,143.75,-3.7554128,-5.3047466
