C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5_3.xdf,12.12.24,16:04:49,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0045632,0,0,0.0295119,0,0,-0.0460969,0,0,31.4839039,0,0,139.6806946,0
,6.25,0.0000065,0.0000137,6.25,0.0031686,-0.0013951,6.25,-0.020288,-0.0046215,6.25,0.0333046,0.00793,6.25,-26.2871017,-29.2849274,6.25,-123.3978577,-18.3881035
,12.5,-0.0000372,-0.0000812,12.5,0.0003552,0.0004814,12.5,-0.0006894,0.0015941,12.5,-0.0002847,-0.0027792,12.5,14.184907,16.1427135,12.5,25.3219299,-24.8525963
,18.75,0.0000791,-0.0001024,18.75,-0.0003227,0.0007707,18.75,-0.0005057,0.0011675,18.75,0.0001295,0.0017105,18.75,-14.7880144,-1.6402663,18.75,9.2910872,39.2222786
,25,0.0001606,0.000129,25,-0.0002963,-0.0004087,25,0.000907,-0.001063,25,-0.0009031,-0.0020383,25,9.8383436,-0.3492267,25,-27.8961506,-15.5242424
,31.25,-0.0004511,0.0001739,31.25,0.0004599,-0.0006203,31.25,-0.0002802,0.0001841,31.25,0.0006203,0.0001838,31.25,-6.4643536,6.6798582,31.25,17.1724339,-2.7300935
,37.5,0.0000087,-0.0002065,37.5,-0.0000173,0.000697,37.5,0.0000081,0.0001413,37.5,0.000446,-0.0000128,37.5,1.9490622,-12.3268042,37.5,5.9185576,9.4859648
,43.75,0.0005739,0.0000368,43.75,-0.0007273,-0.0003747,43.75,-0.0004665,0.0004934,43.75,-0.0010126,-0.0008892,43.75,-3.5071344,13.7247868,43.75,-7.7409368,0.7888459
,50,-0.0015932,0.0014491,50,0.0002124,0.000344,50,0.000401,-0.0021353,50,-0.0008498,0.0017748,50,0.0447597,-5.9645162,50,0.3242679,-9.4881821
,56.25,0.0005829,-0.0042234,56.25,0.0025507,0.0003176,56.25,0.0021539,0.0023341,56.25,0.0022631,0.0002582,56.25,5.8776493,0.881326,56.25,7.0187111,6.1936398
,62.5,0.003364,0.0046707,62.5,-0.0031619,-0.0007659,62.5,-0.0036813,-0.001598,62.5,-0.0014021,-0.0008992,62.5,-2.2120631,-5.2681184,62.5,-4.7079816,3.267149
,68.75,-0.0003917,-0.0020492,68.75,0.0007246,0.0003311,68.75,0.0014848,0.0007198,68.75,0.0004739,-0.0000617,68.75,2.0886269,6.946229,68.75,-4.659204,-16.3632813
,75,-0.0048791,0.0008855,75,0.0003502,-0.0004487,75,0.0006117,0.0000697,75,-0.0014663,-0.0006444,75,-8.6070919,-7.4619226,75,9.9660349,12.8241129
,81.25,0.0029619,-0.000294,81.25,-0.0004964,0.000201,81.25,-0.0015043,-0.0003699,81.25,0.0018272,0.0012677,81.25,10.1108027,6.3853741,81.25,-7.4495707,-2.2927783
,87.5,-0.0021395,-0.001965,87.5,0.0017321,0.0002502,87.5,0.0019806,0.0002,87.5,0.0002403,-0.0006854,87.5,-5.8782125,-4.5716825,87.5,10.2483873,7.9347911
,93.75,0.0014202,0.0023375,93.75,-0.0027183,0.0002313,93.75,-0.0019422,0.0001401,93.75,-0.0022558,-0.0006602,93.75,-2.0012033,0.097924,93.75,-11.5983143,-15.0417337
,100,0.0000428,-0.0008715,100,0.0013647,-0.0002,100,0.0006863,-0.0000776,100,0.0023767,0.0016754,100,4.3209639,9.4725838,100,-1.5374681,17.3480835
,106.25,0.0002194,-0.0005946,106.25,0.0007542,-0.0005936,106.25,0.0012623,0.0000241,106.25,-0.0018921,-0.0014462,106.25,-7.810307,-6.3945189,106.25,14.6322803,-14.9836187
,112.5,-0.0008589,0.000653,112.5,-0.000218,0.0007926,112.5,-0.0008721,0.0009806,112.5,0.0019885,0.0002835,112.5,19.057642,-5.3669806,112.5,-10.0972242,10.4325504
,118.75,-0.0003728,0.0004475,118.75,-0.0026118,0.0000395,118.75,-0.0020979,-0.0026065,118.75,-0.0018626,0.0020698,118.75,-16.4335556,10.3311729,118.75,-13.9767504,-13.3509188
,125,0.0051199,0.0006681,125,0.0035767,0.0002776,125,0.0036536,0.0030338,125,0.0009823,-0.0030357,125,1.4973582,-9.4104424,125,16.5357494,13.6831894
,131.25,-0.0015488,-0.0024774,131.25,-0.0018345,-0.0012622,131.25,-0.0026655,-0.001602,131.25,-0.0000946,0.0013218,131.25,12.0821619,6.3696833,131.25,5.5271587,-8.2593393
,137.5,-0.0024297,-0.003178,137.5,0.000327,-0.00021,137.5,0.001084,-0.0019878,137.5,-0.0001767,-0.000023,137.5,-12.6935167,-2.2156801,137.5,-10.026432,8.4324961
,143.75,0.0066194,0.0163916,143.75,-0.0022626,0.0030299,143.75,-0.0026848,0.0025585,143.75,-0.0009602,0.0026197,143.75,4.9235301,-6.1303391,143.75,7.7352543,-11.0702744
