C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_5.xdf,12.12.24,16:51:39,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0201152,0,0,-0.0721312,0,0,0.098751,0,0,-59.2323456,0,0,-171.8015289,0
,6.25,0.0000052,-0.0000033,6.25,-0.0133622,-0.0052855,6.25,0.0528852,0.0083091,6.25,-0.0695625,0.008865,6.25,38.9157219,-28.9989567,6.25,173.0953064,-85.9233551
,12.5,-0.0000239,-0.0000128,12.5,-0.0005479,0.0008258,12.5,-0.002586,-0.0028498,12.5,-0.0002857,-0.0029654,12.5,22.0462112,19.6487923,12.5,-91.2124481,25.9654446
,18.75,0.0000187,0.0001182,18.75,-0.0013293,0.0008129,18.75,0.0008281,0.0000914,18.75,-0.0005549,0.0007975,18.75,-14.5832129,5.5734482,18.75,23.8864765,12.8989363
,25,0.0001882,-0.0002076,25,0.0017077,-0.0003343,25,-0.0003296,0.0003237,25,0.0014396,-0.0011919,25,-9.8877459,-16.1592121,25,32.4857826,13.3730621
,31.25,-0.0009661,0.000691,31.25,-0.0011453,0.0001835,31.25,0.0006651,-0.0007949,31.25,-0.0014026,0.0009011,31.25,9.8018541,5.3840108,31.25,-6.2548189,-17.6169472
,37.5,0.0025307,-0.0003745,37.5,0.0004628,0.0001658,37.5,-0.0012932,-0.0007653,37.5,-0.0000383,-0.0008326,37.5,-5.8382592,2.4090841,37.5,-9.8532181,19.6166611
,43.75,-0.0040531,-0.0016615,43.75,0.0002818,0.0000896,43.75,0.0003367,0.0018041,43.75,0.0025843,0.000859,43.75,-2.3313355,2.829869,43.75,-0.5407674,-47.4493637
,50,0.004876,0.0022277,50,0.0005506,0.0007331,50,0.0035252,-0.0010828,50,-0.0043466,-0.0011726,50,9.6176281,-1.0528308,50,9.5575142,39.3264313
,56.25,-0.0032167,-0.0016709,56.25,-0.0026059,-0.0031833,56.25,-0.0054575,-0.0021611,56.25,0.0014965,-0.0000804,56.25,-6.1462388,-6.1000977,56.25,-35.4598351,-7.2818246
,62.5,0.0030558,0.0034843,62.5,0.0018848,0.0038358,62.5,0.0032457,0.0037501,62.5,0.0024256,0.0008035,62.5,-2.8045027,-5.676703,62.5,39.1038628,10.4974966
,68.75,-0.0045508,-0.0036695,68.75,0.0005543,-0.0016378,68.75,-0.0006604,-0.0015948,68.75,-0.0024769,0.0001777,68.75,1.9131497,20.3101635,68.75,-7.204072,-22.7634983
,75,0.0007025,-0.0021273,75,-0.000766,0.0008625,75,-0.0005086,0.000253,75,0.0014021,-0.0000952,75,5.5025477,-12.1097355,75,-20.9113579,-2.9896913
,81.25,0.0016315,0.0078692,81.25,0.0000561,-0.0012918,81.25,-0.0000773,-0.0011362,81.25,-0.0004322,0.0000323,81.25,-12.3126001,1.9003396,81.25,31.4206142,37.3967094
,87.5,0.0012171,-0.0082031,87.5,-0.0002017,0.0004958,87.5,0.0002716,0.0020847,87.5,-0.0000274,-0.0019383,87.5,14.5432863,3.6970222,87.5,-26.8080463,-36.2443314
,93.75,0.0000306,0.007228,93.75,-0.0000403,0.0004546,93.75,0.0014335,-0.0004592,93.75,-0.0014486,0.0018408,93.75,-5.8276706,-0.9817656,93.75,2.8497953,21.8940964
,100,-0.0048103,-0.0062933,100,0.0002651,-0.0000642,100,-0.0020959,-0.0011551,100,0.0026315,0.0009104,100,-7.3621325,-3.3418374,100,2.3434455,-9.052742
,106.25,0.006795,0.0041836,106.25,0.0002094,-0.0004357,106.25,0.0003758,-0.0003951,106.25,-0.0011125,-0.0009286,106.25,21.0757389,-3.2200582,106.25,20.4860859,-7.1362209
,112.5,-0.0052122,-0.0001514,112.5,0.0006002,0.0006185,112.5,-0.0000765,0.0020956,112.5,0.0004143,-0.0006597,112.5,-25.291626,2.5822461,112.5,-14.840991,8.1615696
,118.75,0.0134575,-0.0033576,118.75,-0.0013695,-0.0005559,118.75,0.0015646,-0.0020509,118.75,-0.0014244,0.0014285,118.75,15.4888725,-2.1155338,118.75,-15.1971312,-3.1937063
,125,-0.0344079,-0.0003452,125,0.0011895,-0.0004771,125,-0.0007277,-0.0010877,125,-0.0001246,-0.001927,125,-5.9549332,7.735486,125,21.8170433,13.9712992
,131.25,0.0223598,0.0014188,131.25,-0.0000602,0.0018817,131.25,0.0007074,0.0016739,131.25,0.0014032,0.0025645,131.25,0.3810112,-5.4636726,131.25,-3.0100732,-24.6293201
,137.5,0.0093795,-0.0010645,137.5,-0.0038338,-0.0004479,137.5,-0.0055804,0.0031882,137.5,-0.0010045,-0.001687,137.5,0.0712737,-2.6560733,137.5,-5.2349219,29.2521324
,143.75,0.0008151,0.0167795,143.75,-0.0000425,-0.002103,143.75,0.0032022,-0.0074148,143.75,-0.0038567,0.0008341,143.75,5.0552487,1.9195749,143.75,-4.9779015,-27.864212
