C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5_4.xdf,12.12.24,15:54:03,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0421065,0,0,0.0241716,0,0,-0.0104585,0,0,-127.9776382,0,0,-43.7615738,0
,6.25,0.0000027,0.0000051,6.25,0.0312148,0.0052999,6.25,-0.0176116,0.0091773,6.25,0.0069643,0.0086123,6.25,87.0221863,43.0019798,6.25,65.8149109,0.2480741
,12.5,0.000007,-0.0000232,12.5,-0.0014752,-0.0014594,12.5,-0.0000569,-0.003014,12.5,0.0006,-0.0035375,12.5,9.4533348,-25.1567631,12.5,-68.0193176,-25.8901615
,18.75,0.0001433,-0.0001181,18.75,0.000064,0.0005008,18.75,-0.0002143,0.0000942,18.75,-0.0001215,0.0011319,18.75,-2.6305242,13.4716415,18.75,51.3387718,27.6866512
,25,-0.0004541,0.0000649,25,0.000541,-0.0008493,25,0.0014893,-0.0003741,25,0.0001158,-0.0006272,25,1.5192767,-3.4756646,25,-33.6361275,-1.2820854
,31.25,0.0003006,0.000966,31.25,-0.0005082,0.0001019,31.25,-0.0006828,0.0000744,31.25,0.000104,0.0000009,31.25,-7.2611818,-5.900826,31.25,18.5040665,-4.5561676
,37.5,0.0001984,-0.0013471,37.5,0.0000472,0.0002772,37.5,0.0002599,0.0003052,37.5,0.0000213,-0.0007382,37.5,6.476881,1.0889972,37.5,14.5249414,-23.0167313
,43.75,0.0001199,-0.0000904,43.75,0.0006281,-0.0003561,43.75,0.0006154,-0.0010378,43.75,-0.0002953,0.000558,43.75,-7.298666,0.8156548,43.75,-24.6305332,37.7587357
,50,-0.0014826,0.0010497,50,-0.001047,0.0001953,50,-0.0023482,0.000185,50,0.0009412,0.0009137,50,-3.4862072,4.4811201,50,0.5228453,-22.1967888
,56.25,0.0005958,-0.0009097,56.25,-0.0025723,-0.0008758,56.25,-0.00101,-0.0006143,56.25,-0.0040663,-0.000769,56.25,12.2055902,-6.6327472,56.25,13.4896564,5.0126739
,62.5,0.0033885,0.0005385,62.5,0.0044506,0.0005189,62.5,0.003423,0.0010668,62.5,0.0046004,0.0001615,62.5,-3.6078436,2.9107974,62.5,-16.4298897,1.2109662
,68.75,-0.0056914,-0.0008942,68.75,-0.0014776,0.0006345,68.75,-0.0008907,-0.0000874,68.75,-0.0011634,-0.0003413,68.75,-8.2412128,-0.7439058,68.75,18.2168522,-2.6192789
,75,0.004311,0.0021936,75,0.0000452,-0.0003979,75,0.0001475,0.0005133,75,-0.0002789,-0.0006829,75,11.8106279,1.5018718,75,-13.6354713,1.4355886
,81.25,-0.0012032,-0.0035073,81.25,-0.0003355,0.0003027,81.25,0.0002509,-0.0008321,81.25,-0.0005051,0.0006578,81.25,-2.3299873,1.4808353,81.25,6.9464822,2.2828887
,87.5,0.0001869,0.0038161,87.5,0.0008618,-0.0005932,87.5,0.0002342,-0.0000538,87.5,-0.0000231,0.0005212,87.5,-10.033453,-7.5515189,87.5,4.7876768,1.945917
,93.75,-0.0023125,-0.0030768,93.75,-0.000467,-0.0000904,93.75,-0.0010122,0.0012184,93.75,0.0016332,-0.0022218,93.75,3.3461671,7.8809719,93.75,-17.9929466,-12.1034336
,100,0.0059233,0.0003963,100,-0.0009548,0.0006314,100,-0.0003774,-0.0026767,100,-0.0017056,0.0038183,100,11.2224979,-3.6263874,100,8.9391747,8.9684381
,106.25,-0.006635,0.0026034,106.25,0.0011436,-0.0004275,106.25,0.0013711,0.002125,106.25,0.000166,-0.002437,106.25,-13.1024666,-2.8473036,106.25,-1.8004472,-1.3802348
,112.5,-0.0001105,-0.0035673,112.5,0.0001194,-0.0005776,112.5,-0.0010565,0.0010433,112.5,0.002602,-0.0008499,112.5,10.734911,11.4644489,112.5,4.5661674,3.1366532
,118.75,0.0031434,0.0018782,118.75,-0.0011215,0.0019281,118.75,-0.0023816,-0.0020999,118.75,-0.0029845,0.0028075,118.75,-9.0397606,-7.8089671,118.75,5.6251245,-7.4167585
,125,-0.0009541,0.0113817,125,0.0015157,-0.0020375,125,0.0046191,0.0011362,125,0.0009737,-0.0024879,125,4.6960416,-9.5480127,125,1.6517649,1.4899492
,131.25,-0.0053376,-0.0257607,131.25,-0.0022408,0.0015298,131.25,-0.0032575,-0.0009911,131.25,-0.0008201,0.0016183,131.25,0.239248,10.6545858,131.25,-6.5402694,11.5726595
,137.5,0.024715,0.0139789,137.5,0.0026303,-0.0005453,137.5,0.0011825,0.0007543,137.5,0.0016192,-0.0003603,137.5,1.3215458,-0.1119176,137.5,-3.1105015,-19.2147694
,143.75,-0.0401833,0.0006879,143.75,0.0011884,0.0012584,143.75,0.000661,0.0010543,143.75,0.0025787,0.0003708,143.75,0.1033741,-1.0894276,143.75,-3.3999207,15.7928143
