C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5_7.xdf,12.12.24,15:29:46,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0014723,0,0,0.0030564,0,0,-0.0305735,0,0,312.4334412,0,0,-371.6852112,0
,6.25,-0.0000142,-0.0000007,6.25,0.0016442,-0.0049468,6.25,-0.0008912,0.001473,6.25,0.0211606,0.0002986,6.25,-273.0822144,-69.0333099,6.25,229.05336,150.8430328
,12.5,-0.0000407,0.0000175,12.5,-0.0012337,0.0025296,12.5,-0.0014521,-0.000329,12.5,0.0007931,-0.0007326,12.5,75.895195,21.4957008,12.5,57.1707916,-183.1030884
,18.75,0.0002979,-0.0000145,18.75,0.0000397,0.0005215,18.75,-0.0002793,-0.0000691,18.75,-0.0008191,0.0013114,18.75,-16.6000881,23.2143383,18.75,-32.8796234,63.3708115
,25,-0.0004625,0.0000577,25,0.0010338,-0.0004369,25,0.0006803,-0.0000077,25,0.0005111,-0.000668,25,-17.2419891,-1.1726108,25,0.6940417,23.4873772
,31.25,-0.0002276,-0.0007803,31.25,-0.0005275,-0.0000143,31.25,-0.000788,0.0007262,31.25,-0.0000073,-0.000647,31.25,28.1709003,-1.3215436,31.25,17.3039322,46.0954895
,37.5,0.0006057,0.0017715,37.5,0.0002531,-0.0001448,37.5,0.001044,-0.0011199,37.5,-0.0001632,0.0007293,37.5,8.921649,-12.1564035,37.5,-78.8841324,-223.5327454
,43.75,0.0015316,-0.002038,43.75,-0.0008668,0.0002049,43.75,-0.0021488,0.0013715,43.75,0.0004127,0.0004753,43.75,-101.4584656,-19.6896439,43.75,194.1646271,323.3606567
,50,-0.0038943,0.0006436,50,0.000714,-0.0015148,50,0.002964,-0.0045856,50,-0.0001546,-0.0042096,50,163.6465302,56.8024139,50,-123.7552032,-211.926239
,56.25,0.0021538,0.002099,56.25,0.0017901,0.0038522,56.25,0.0010832,0.0078932,56.25,0.0003889,0.0079093,56.25,-143.5860443,-67.8010178,56.25,-36.9466362,93.387352
,62.5,-0.0007508,-0.0045357,62.5,-0.0026129,-0.0030661,62.5,-0.003868,-0.0051383,62.5,-0.0007764,-0.005231,62.5,48.1673775,30.0963631,62.5,39.5961266,-24.2220745
,68.75,0.0041911,0.0020173,68.75,0.0009221,0.0003721,68.75,0.0020551,0.0010358,68.75,-0.0004712,-0.0006023,68.75,7.7744799,37.9827957,68.75,-9.1226559,-28.5405903
,75,-0.0033621,0.0020659,75,-0.0003807,0.0006332,75,-0.0012012,-0.0002201,75,0.0018336,0.001613,75,-27.081913,-49.6618118,75,-11.2793074,-2.0495191
,81.25,-0.001801,-0.0021091,81.25,0.0003106,-0.0003937,81.25,0.0013233,0.0005837,81.25,-0.0028846,-0.0005429,81.25,66.8765945,14.9406862,81.25,27.9923267,47.4076958
,87.5,0.0046311,0.0041878,87.5,-0.0007335,-0.0012062,87.5,-0.0021511,-0.0010376,87.5,0.0035211,0.00081,87.5,-108.2343521,10.3014603,87.5,6.4680195,-39.7649803
,93.75,-0.0056199,-0.0037322,93.75,-0.000076,0.0027136,93.75,0.002084,-0.0002915,93.75,-0.0036671,0.00141,93.75,141.7209625,-19.0206432,93.75,-17.7239685,5.8472209
,100,0.0046668,-0.0011081,100,0.0012003,-0.0012422,100,-0.0007751,0.0010354,100,0.002045,-0.0013723,100,-69.533432,-1.7883061,100,-1.9659072,4.1301012
,106.25,-0.0043231,0.0013132,106.25,-0.000791,-0.0010034,106.25,0.0021908,-0.0011603,106.25,-0.0018579,-0.0011451,106.25,-51.1994209,63.7664909,106.25,7.777442,0.09112
,112.5,0.0011896,-0.0011055,112.5,0.0023061,0.001276,112.5,-0.0023152,0.0046499,112.5,0.0046665,-0.0012936,112.5,49.3019485,-76.3385391,112.5,25.6494961,-18.1112499
,118.75,0.0124355,0.0101622,118.75,-0.0031502,0.0001272,118.75,-0.0018162,-0.0054516,118.75,-0.0038094,0.0035121,118.75,50.7430305,24.2486477,118.75,-52.3979149,46.981842
,125,-0.0184469,-0.0139427,125,0.0005377,-0.001347,125,0.0039911,-0.0003246,125,-0.0005465,-0.0014822,125,-94.6454315,-5.9200711,125,-5.0490351,-43.883934
,131.25,0.0046783,0.0002223,131.25,0.0001597,0.0007239,131.25,-0.0028255,0.00264,131.25,0.0014654,-0.0005853,131.25,76.1281281,-11.1817408,131.25,47.2736206,3.0750501
,137.5,0.0018682,0.0190604,137.5,0.0002748,0.0004497,137.5,0.0017838,0.0010729,137.5,-0.0016583,0.0002624,137.5,-77.7068329,-3.9392612,137.5,-39.7272987,-0.3072127
,143.75,0.0002957,-0.0210083,143.75,-0.0025683,-0.003139,143.75,-0.0013432,-0.0068136,143.75,-0.0015986,0.0000716,143.75,69.3056564,89.4531555,143.75,38.8223305,52.3779144
