C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_3.xdf,12.12.24,17:02:48,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0595482,0,0,-0.0585551,0,0,-0.0020482,0,0,37.791729,0,0,-133.030777,0
,6.25,0.0000192,0.0000113,6.25,0.0429309,-0.0018607,6.25,0.0415345,-0.0036168,6.25,0.0018918,0.0091919,6.25,-39.3032494,-18.7039471,6.25,93.6622162,4.1011028
,12.5,-0.0000263,-0.000011,12.5,-0.0006746,-0.000317,12.5,0.0000289,0.0005971,12.5,-0.0002333,-0.0027462,12.5,27.9635487,9.8111687,12.5,1.8032699,-8.687396
,18.75,-0.0001677,-0.0003473,18.75,-0.0002553,0.0011689,18.75,-0.0003957,0.0021797,18.75,0.0007293,0.0001487,18.75,-32.357563,0.9338334,18.75,1.8301454,41.522644
,25,-0.0002742,0.0009866,25,0.0002369,-0.0011588,25,0.0008177,-0.0021471,25,-0.0010915,-0.0011714,25,23.4550037,-1.8620738,25,-7.0016575,-32.8010635
,31.25,0.0028827,-0.0005422,31.25,-0.0006176,0.0005109,31.25,-0.0010516,0.0003914,31.25,-0.0000899,0.0008377,31.25,-5.6842566,4.5400906,31.25,-10.6629677,5.9831405
,37.5,-0.0057971,-0.0024769,37.5,0.0006731,-0.0000996,37.5,0.0007317,0.0006169,37.5,0.0002486,-0.000469,37.5,-4.4085522,-11.8319626,37.5,45.2414513,-10.1568279
,43.75,0.0060948,0.0037356,43.75,-0.0001524,-0.0001857,43.75,-0.0006464,-0.0004614,43.75,0.0003696,-0.0004002,43.75,0.6775675,19.4125309,43.75,-42.63834,-0.1580497
,50,-0.0013704,-0.0020903,50,0.0002511,0.0003797,50,0.0018772,0.0001595,50,-0.0008145,0.0001174,50,5.0781522,-14.5872097,50,8.9935904,20.8129368
,56.25,-0.0019628,-0.0000622,56.25,-0.001922,0.0015004,56.25,-0.0041267,0.0010553,56.25,-0.0006664,0.0027225,56.25,3.4837401,-5.8385115,56.25,2.984432,-10.7115135
,62.5,-0.0002464,0.0048828,62.5,0.0020121,-0.0022698,62.5,0.0038602,-0.0019379,62.5,0.0012777,-0.0029441,62.5,-10.2275219,18.3942623,62.5,-8.699172,-10.4706621
,68.75,0.0033079,-0.0065862,68.75,0.0002628,0.0008588,68.75,-0.001665,0.0002642,68.75,-0.0000637,0.001298,68.75,6.3804932,-10.9285259,68.75,8.7438869,13.81423
,75,-0.0026691,0.0053016,75,-0.0007169,-0.0000202,75,0.0011236,0.0019218,75,0.0001818,-0.0029868,75,4.9204197,0.7513667,75,5.8505626,-9.0341349
,81.25,-0.0008992,-0.0043401,81.25,-0.0005225,-0.0001766,81.25,-0.0003447,-0.0017463,81.25,-0.0010665,0.0027973,81.25,-16.2916183,4.1666732,81.25,-7.4396157,9.7159567
,87.5,0.0025717,0.0031905,87.5,0.00174,0.0010534,87.5,0.0002473,0.000144,87.5,0.0012557,0.0000909,87.5,9.5645018,-5.585341,87.5,0.1475845,-14.4349499
,93.75,-0.0072789,-0.0053447,93.75,-0.0017616,-0.0024586,93.75,-0.0008251,-0.0006625,93.75,-0.0009154,-0.0013117,93.75,-0.7794521,6.0342708,93.75,-0.2152061,12.6523466
,100,0.0131547,-0.0003755,100,0.0006696,0.0019656,100,-0.0002316,0.0020609,100,0.0017068,0.0003283,100,8.8645725,-15.1343107,100,8.7502451,-5.0890765
,106.25,-0.0072421,0.0062198,106.25,-0.000214,-0.0007574,106.25,0.001662,-0.0002488,106.25,-0.0030364,-0.0009914,106.25,-14.6204519,16.1600819,106.25,-2.3894699,-0.3226662
,112.5,-0.0026291,0.0048931,112.5,-0.0007663,-0.0002205,112.5,-0.0027337,-0.003335,112.5,0.0011047,0.0027324,112.5,9.7037182,-9.9166918,112.5,-21.1783791,-12.0364399
,118.75,-0.0068975,-0.0144527,118.75,0.0017385,0.0010881,118.75,0.0020673,0.0027649,118.75,0.0015516,-0.001051,118.75,-7.0489016,22.1316681,118.75,20.8672523,22.4015961
,125,0.0247927,0.0052276,125,-0.0001239,-0.0001014,125,0.0010186,0.0011234,125,-0.0015617,-0.0005332,125,16.3493557,-26.675705,125,-6.3149858,-10.7532206
,131.25,-0.0216409,0.0079389,131.25,-0.0020552,-0.0004023,131.25,-0.0026975,-0.0018681,131.25,0.0005177,0.0005173,131.25,-19.6820679,14.775136,131.25,8.9935713,1.7743211
,137.5,-0.0037135,-0.0012482,137.5,0.0000467,0.0009241,137.5,-0.0001996,0.0011218,137.5,-0.0009535,-0.0000735,137.5,3.2201123,-12.3553352,137.5,-12.5554237,-1.3922181
,143.75,0.0429351,-0.0210043,143.75,0.0014456,-0.0010722,143.75,0.0024656,-0.0007038,143.75,-0.0002217,-0.000698,143.75,9.1549168,7.6466608,143.75,6.5402951,1.1063057
