C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_1_6.xdf,12.12.24,14:24:54,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0043935,0,0,-0.0072943,0,0,0.0180374,0,0,40.1230049,0,0,-42.4906273,0
,6.25,0.0000046,-0.0000061,6.25,-0.003629,-0.0015575,6.25,0.004796,-0.0028463,6.25,-0.0122902,0.0018538,6.25,-27.2351131,24.6581173,6.25,12.1660547,0.3082376
,12.5,0.0000202,0.0000407,12.5,0.0006768,0.000647,12.5,0.0000349,0.0006371,12.5,-0.0005237,-0.0008403,12.5,-5.9214764,-14.7612028,12.5,29.9253807,12.7808895
,18.75,-0.0000407,-0.0000177,18.75,-0.0003801,-0.0002192,18.75,0.000748,0.0003756,18.75,-0.0001682,0.0008004,18.75,8.621006,7.6560578,18.75,-7.088644,-4.7309127
,25,0.0000646,0.0000729,25,0.0004507,-0.0000533,25,-0.0006534,0.0000929,25,0.0001433,-0.0007318,25,-6.5391355,-3.5459211,25,-14.9061785,-1.38448
,31.25,0.0001399,-0.0001679,31.25,-0.0001492,-0.0000129,31.25,0.0006209,-0.0006163,31.25,0.0004852,0.0001335,31.25,4.3740048,-1.5065466,31.25,5.2794881,-5.3527284
,37.5,-0.0003015,0.0000248,37.5,-0.0001912,0.0000887,37.5,-0.000805,0.0006451,37.5,0.0000204,0.0002393,37.5,-2.4661672,2.6595721,37.5,6.8896427,-4.266582
,43.75,0.0001907,0.0002857,43.75,0.0003698,0.00028,43.75,0.0001411,0.0003085,43.75,0.0002101,-0.0001566,43.75,4.2275696,-2.9713438,43.75,-9.605731,17.1814919
,50,-0.0004173,-0.0003565,50,0.000483,-0.0000911,50,0.0016874,-0.0006733,50,-0.0002187,0.000406,50,-4.2145152,2.8608954,50,16.813797,-9.4204378
,56.25,0.000879,0.0004811,56.25,-0.0041244,-0.000982,56.25,-0.0045083,-0.000335,56.25,-0.005011,-0.0019559,56.25,-4.0561395,-4.5462132,56.25,-8.5018711,3.7294602
,62.5,-0.0004038,-0.0000075,62.5,0.0049482,0.001327,62.5,0.0046097,0.0010321,62.5,0.0070806,0.0018594,62.5,6.5142541,5.0585189,62.5,-7.6776266,-6.9986115
,68.75,-0.0005918,-0.0010125,68.75,-0.0008195,-0.000493,68.75,-0.0007843,0.0005046,68.75,-0.002187,-0.0021991,68.75,-2.4923213,-4.3604774,68.75,21.6876678,-5.3622303
,75,0.0007174,0.000415,75,-0.0010439,0.0001777,75,-0.0014505,-0.0020122,75,0.0000689,0.0040797,75,3.2761037,6.741468,75,-26.7177258,16.0027866
,81.25,-0.0001145,0.000702,81.25,0.0001805,-0.0001669,81.25,0.0007544,0.0006759,81.25,-0.0008101,-0.0021959,81.25,-2.8963079,-10.0994024,81.25,13.191308,-13.9700871
,87.5,0.0000877,0.0004489,87.5,0.0001609,-0.0006735,87.5,0.0008483,0.0002334,87.5,0.0000725,-0.0007337,87.5,1.6886206,10.2290707,87.5,-2.8350217,16.7970867
,93.75,-0.0000444,-0.0005754,93.75,-0.0000153,0.0011658,93.75,-0.0007235,0.0008552,93.75,0.0004161,0.0005545,93.75,1.513703,-6.9247184,93.75,4.6659908,-16.2480927
,100,-0.000137,-0.0024983,100,0.000343,-0.0005277,100,0.0000453,-0.000136,100,0.0003698,-0.0003111,100,-9.6493521,2.1825891,100,-11.7509737,10.1619043
,106.25,-0.0016879,0.0039101,106.25,-0.0009463,0.0000545,106.25,-0.0006322,-0.0019344,106.25,-0.0007637,0.0013742,106.25,11.6846447,1.9536554,106.25,15.883419,-5.5378394
,112.5,0.0022558,-0.0022971,112.5,0.0015078,-0.0003448,112.5,0.0011134,0.0030535,112.5,0.0016767,-0.0022779,112.5,-4.5050774,-4.6598697,112.5,-10.3447676,-0.243437
,118.75,-0.0002037,0.0008473,118.75,-0.001688,0.0010537,118.75,-0.0029575,-0.0013548,118.75,-0.0014228,0.0022128,118.75,-3.3037152,1.5901868,118.75,2.3096135,4.8815789
,125,-0.0004106,-0.0000473,125,0.0008777,-0.0012297,125,0.0039833,-0.0005514,125,-0.0001013,-0.001374,125,13.274437,8.6416378,125,7.9820404,-7.5292811
,131.25,-0.0014722,-0.0015332,131.25,0.0004475,0.0002447,131.25,0.00017,0.0004262,131.25,0.0001694,0.000099,131.25,-16.5743408,-10.2115278,131.25,-12.760951,4.6428032
,137.5,0.0042268,-0.0010102,137.5,-0.0002499,-0.0000566,137.5,-0.0017601,0.0000771,137.5,0.0007138,0.000011,137.5,6.7774658,1.488104,137.5,6.2348504,-0.2748354
,143.75,-0.0031857,0.0046106,143.75,0.0001449,-0.0008915,143.75,0.0011804,-0.0001875,143.75,-0.0001154,-0.0006358,143.75,-4.8886118,0.5473319,143.75,-3.5467525,1.080631
