C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_3_1.xdf,12.12.24,14:43:17,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0162206,0,0,-0.0080056,0,0,-0.006152,0,0,-21.8286114,0,0,-134.4770508,0
,6.25,0.0000048,-0.000001,6.25,0.0119445,-0.0001126,6.25,0.005758,-0.0004364,6.25,0.0045786,0.0002612,6.25,24.7143631,18.494339,6.25,103.14151,-23.8964767
,12.5,-0.00002,0.0000151,12.5,-0.0008528,0.0000584,12.5,-0.0004074,0.0006868,12.5,-0.0002616,-0.0010032,12.5,-15.3932199,-9.1843262,12.5,-17.642849,0.5143526
,18.75,0.0000126,-0.0000626,18.75,0.0008001,-0.000751,18.75,0.0014403,-0.0012688,18.75,-0.000212,0.0002381,18.75,8.6248293,-2.9098356,18.75,8.7256947,-7.4766889
,25,0.0000505,0.0001341,25,-0.000436,0.001198,25,-0.0014113,0.0012935,25,-0.0002095,0.0001555,25,-7.1404376,0.5949558,25,-8.5207129,23.9892139
,31.25,-0.0005054,0.000007,31.25,-0.0001527,-0.0006186,31.25,0.0000538,-0.0007491,31.25,0.0006923,0.0003905,31.25,9.3556471,-3.4981334,31.25,19.9810562,2.4814103
,37.5,0.0006237,-0.0002622,37.5,0.0001135,0.0001088,37.5,0.000392,0.0004199,37.5,0.0000703,-0.0003599,37.5,-6.5218887,11.0675583,37.5,1.6058197,-39.3521996
,43.75,0.0002884,0.000038,43.75,0.0002478,0.0004212,43.75,-0.0009766,0.0007591,43.75,0.0006447,-0.0001456,43.75,-4.4514575,-10.536581,43.75,-12.2072067,38.4319
,50,-0.0005383,0.0004046,50,0.0007402,-0.0003327,50,0.0032402,-0.0010551,50,-0.0017736,0.0003048,50,16.2901897,3.3421388,50,-17.7407951,-18.240593
,56.25,-0.0000482,-0.0008419,56.25,-0.0035943,-0.0018219,56.25,-0.0060656,-0.0022648,56.25,-0.0008123,-0.0006585,56.25,-15.8857098,1.3079237,56.25,27.4734097,13.2756138
,62.5,0.0011383,0.0007658,62.5,0.0036461,0.0027858,62.5,0.0046859,0.0031988,62.5,0.0023809,0.0018541,62.5,7.9375353,2.843935,62.5,-2.5815256,-12.9827194
,68.75,-0.0026516,0.0002334,68.75,-0.0004872,-0.0014729,68.75,-0.0001067,-0.0000527,68.75,-0.0010343,-0.0028012,68.75,-4.2684393,-4.4993343,68.75,-5.6759691,14.1855507
,75,0.0024639,0.0001165,75,-0.000753,0.0007084,75,-0.0013957,-0.0007725,75,0.0011329,0.002041,75,-2.1797242,0.7998299,75,-12.9196749,-12.1197863
,81.25,-0.0006333,-0.0014953,81.25,0.0004653,-0.0001727,81.25,0.0001086,0.0005513,81.25,-0.0007836,-0.0012278,81.25,16.0941486,1.9588302,81.25,13.6912575,-0.9323852
,87.5,-0.00121,0.0007742,87.5,-0.0004979,-0.0002969,87.5,0.0000746,-0.0018746,87.5,0.0000625,0.0024484,87.5,-20.2872753,-5.6846685,87.5,3.5809491,7.8874068
,93.75,0.0034094,-0.0000918,93.75,0.000695,0.0006563,93.75,0.0010046,0.0010219,93.75,-0.000921,-0.0009821,93.75,8.9066305,9.1091118,93.75,-13.57411,-8.4065256
,100,-0.0037935,0.0023683,100,-0.000156,-0.0010903,100,-0.0001562,0.0013377,100,0.0010743,-0.0023319,100,0.2854868,-8.8746138,100,18.4642925,4.9892254
,106.25,0.0008574,-0.0041188,106.25,-0.0001873,0.0012292,106.25,-0.0016923,-0.0012924,106.25,0.0008044,0.0030605,106.25,2.4180055,5.5723372,106.25,-13.3446302,2.1107786
,112.5,0.0031801,0.002626,112.5,0.000426,-0.0007538,112.5,0.0020911,0.0003363,112.5,-0.0015029,-0.0024906,112.5,-5.1819329,-7.4777293,112.5,-2.6663682,6.3156638
,118.75,-0.0073381,-0.0023841,118.75,-0.0010809,0.0001594,118.75,-0.0030536,0.0012973,118.75,0.0007251,0.0009291,118.75,2.6781924,1.4503303,118.75,3.7024319,-10.3241329
,125,0.0062851,0.0044009,125,0.00026,-0.0007683,125,0.002999,-0.0041155,125,-0.0010674,0.0008401,125,0.8223884,15.3399706,125,1.845932,-1.6739037
,131.25,-0.0041751,-0.0031913,131.25,0.000285,0.001186,131.25,-0.0014931,0.0038516,131.25,0.00073,-0.0010374,131.25,-0.9302233,-20.0386143,131.25,-2.0887432,-0.2537144
,137.5,0.0087737,0.0021446,137.5,0.0000407,-0.0004879,137.5,0.0000983,-0.0014634,137.5,0.0003438,0.000433,137.5,-2.3929682,12.51297,137.5,6.4320321,3.1953127
,143.75,-0.008199,-0.0024656,143.75,0.0028174,-0.0006199,143.75,0.0024913,0.0025359,143.75,0.0012168,-0.0013555,143.75,1.7072653,-4.9825859,143.75,-4.7516165,9.0237455
