C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_7.xdf,12.12.24,16:39:28,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0397938,0,0,0.0547409,0,0,0.0835775,0,0,-22.7620335,0,0,-221.3693085,0
,6.25,-0.000015,0.000007,6.25,0.0287754,-0.0003045,6.25,-0.0383204,0.0068475,6.25,-0.0599142,0.0032926,6.25,36.0399284,67.3610001,6.25,177.3340454,-9.0777416
,12.5,0.0000327,-0.000072,12.5,-0.0007854,0.0002436,12.5,0.0000274,-0.0017502,12.5,0.0009147,-0.0008181,12.5,-42.8250122,-34.1989555,12.5,-29.3435268,-9.7707109
,18.75,0.0000342,0.00008,18.75,-0.0001095,0.0003993,18.75,-0.0010548,-0.0003083,18.75,-0.0011457,0.0000779,18.75,31.3348656,1.5289135,18.75,-0.2051128,7.396842
,25,-0.0004931,-0.0000017,25,0.0006423,-0.0003893,25,0.0007491,0.0001756,25,0.001857,-0.0002041,25,-6.7729306,-4.7300968,25,7.154984,30.8034859
,31.25,0.0019435,-0.0001641,31.25,-0.0004324,-0.0001871,31.25,0.0001218,0.000518,31.25,-0.0010103,-0.0000947,31.25,5.6057038,6.9051876,31.25,15.0855751,-54.0476494
,37.5,-0.0030419,0.0012389,37.5,0.0000377,0.0001912,37.5,0.0000004,-0.0010266,37.5,0.0002303,-0.0006385,37.5,-7.7910099,-5.3687444,37.5,-24.094862,45.4075584
,43.75,0.0037799,-0.001275,43.75,-0.0004331,0.0006228,43.75,-0.000914,0.00109,43.75,-0.0001382,0.0009243,43.75,-7.525116,12.4258108,43.75,12.6209421,-34.1402855
,50,-0.0064654,-0.0012456,50,0.0004359,-0.0017652,50,0.0023174,-0.0024945,50,-0.0014035,-0.002069,50,3.1637926,-19.4497871,50,4.5428762,14.2613916
,56.25,0.0071849,-0.0010254,56.25,0.0018297,0.0034444,56.25,-0.0020965,0.0033455,56.25,0.0046138,0.0055301,56.25,18.6141453,5.2680078,56.25,-5.9979463,4.3016186
,62.5,-0.0025877,0.0029397,62.5,-0.0030062,-0.0031892,62.5,0.0003627,-0.0025662,62.5,-0.0041736,-0.0044942,62.5,-21.1760826,-7.6845903,62.5,-19.334177,0.9073256
,68.75,-0.0027115,0.0031644,68.75,0.0008668,0.0006288,68.75,0.0010392,0.0000049,68.75,-0.0004252,0.0005996,68.75,11.1628828,17.5265656,68.75,29.9204311,-10.6969404
,75,0.0044131,-0.0028187,75,0.0005146,0.0003296,75,-0.0021289,0.0017805,75,0.0028697,-0.0008995,75,-9.6075277,-1.6324546,75,-8.3360205,10.4186039
,81.25,-0.0052054,-0.0026289,81.25,-0.0003132,-0.0007625,81.25,0.0019589,-0.0013809,81.25,-0.0028002,0.0005423,81.25,17.2897835,-5.6592283,81.25,-8.1286058,-20.5070095
,87.5,0.0071057,-0.0006032,87.5,0.0005801,0.0022599,87.5,-0.0002896,0.0012364,87.5,0.0022138,0.0013325,87.5,-26.0068474,9.3741894,87.5,13.130127,31.6912766
,93.75,-0.0060829,0.0054555,93.75,-0.0002564,-0.0030273,93.75,0.0000121,-0.0004057,93.75,-0.0011516,-0.0021625,93.75,16.9227371,-11.8320084,93.75,-14.3967075,-18.4131355
,100,0.0014889,-0.0033358,100,-0.0010845,0.0020322,100,-0.0015131,-0.0023611,100,0.0004466,0.0036307,100,6.8017411,7.3507218,100,-7.9143944,2.0766656
,106.25,0.0009248,-0.0015488,106.25,0.0010905,-0.0010814,106.25,-0.0010555,0.0022911,106.25,0.0019909,-0.0048621,106.25,1.1003981,-11.3231659,106.25,42.3439369,-0.7441987
,112.5,0.0013505,-0.0003707,112.5,0.0011168,0.0011974,112.5,0.0048927,0.0013441,112.5,-0.0028179,0.0031746,112.5,-29.7118664,14.3492556,112.5,-43.5792694,-12.7936201
,118.75,-0.0026231,-0.0032401,118.75,-0.0023104,-0.002473,118.75,-0.0012497,-0.0046029,118.75,-0.0003938,-0.0014942,118.75,22.3142567,-16.8965816,118.75,-7.3465505,26.9603748
,125,0.0076209,0.0208451,125,-0.0006949,0.003129,125,-0.0049112,0.0036235,125,0.0010304,0.0024049,125,4.5946288,18.1395855,125,41.5328789,1.4171209
,131.25,-0.0175082,-0.0124575,131.25,0.0021824,-0.0011536,131.25,0.0057332,0.0006123,131.25,-0.0008197,-0.0031346,131.25,-10.7831211,-9.370883,131.25,1.0622138,-18.2725334
,137.5,0.0135523,-0.0120645,137.5,-0.0004378,-0.0028262,137.5,-0.0022498,-0.0040147,137.5,0.0011978,0.0002326,137.5,8.3793802,4.6538382,137.5,-30.5624599,-2.8599863
,143.75,-0.0002947,-0.0069505,143.75,-0.0019148,0.0057849,143.75,-0.00127,0.0046139,143.75,-0.0023845,0.002657,143.75,-16.6016521,-25.0777702,143.75,-1.2309251,-3.5375171
