C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5_2.xdf,12.12.24,16:17:09,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0512018,0,0,0.0193278,0,0,0.011522,0,0,-52.9583855,0,0,-147.2046051,0
,6.25,0.000018,-0.0000009,6.25,0.0360036,-0.0006775,6.25,-0.0142687,-0.0029328,6.25,-0.0073896,0.007762,6.25,27.2494011,27.752018,6.25,145.6526031,25.1835785
,12.5,-0.000032,-0.0000123,12.5,0.0003874,0.0002162,12.5,-0.0001091,0.0008904,12.5,-0.0005293,-0.0016852,12.5,-1.8710006,-33.9047356,12.5,-68.9241562,-6.1370006
,18.75,-0.0002065,0.0000751,18.75,0.0000891,-0.0004883,18.75,0.0009177,-0.0002015,18.75,-0.0007008,-0.0017999,18.75,18.0289383,13.7654877,18.75,42.1804657,-9.6981068
,25,0.0004516,-0.0001681,25,-0.000459,0.0005353,25,-0.0002945,0.0003904,25,0.001144,0.0010722,25,-5.7006207,-2.2493927,25,-18.3973236,17.737711
,31.25,-0.0002032,-0.0000235,31.25,0.0000776,-0.0002095,31.25,0.0004348,-0.0003553,31.25,-0.0010453,-0.0003615,31.25,2.6882632,2.5263879,31.25,-0.9067146,-8.0692873
,37.5,0.0003655,0.000085,37.5,0.0003448,-0.0000823,37.5,-0.0002728,0.0003643,37.5,0.0004073,-0.0001559,37.5,-10.6673927,4.4316983,37.5,18.0619354,-20.3317089
,43.75,-0.0002869,0.0013639,43.75,0.0003992,0.0006908,43.75,0.000718,0.000152,43.75,0.0001033,-0.00013,43.75,12.9221439,-7.8061547,43.75,-15.2149582,38.0277901
,50,-0.0017379,-0.0032233,50,-0.0006521,-0.0008653,50,-0.0009814,-0.0000448,50,0.0008302,-0.0004337,50,-9.3373013,5.4023628,50,-14.6618834,-35.266964
,56.25,0.0032578,0.0022241,56.25,-0.0029322,0.0012573,56.25,-0.0027769,0.0002841,56.25,-0.0037382,0.002884,56.25,5.3597226,-1.2187874,56.25,26.5528049,20.9459801
,62.5,-0.0018083,0.0006513,62.5,0.0047466,-0.0015282,62.5,0.0044346,-0.0003204,62.5,0.0041391,-0.0035054,62.5,-3.7294202,-3.5330832,62.5,-10.4080019,-8.6556664
,68.75,0.0012711,-0.0025021,68.75,-0.0019498,0.0007943,68.75,-0.0018162,-0.0009297,68.75,-0.0003467,0.0020306,68.75,7.3546481,3.1307557,68.75,1.3167754,-1.3679157
,75,-0.0035881,0.0031237,75,0.0005285,-0.0008378,75,0.0012096,0.0012002,75,-0.0018394,-0.0017242,75,-10.49055,0.0788046,75,-5.8963447,10.4467945
,81.25,0.0043272,-0.0029987,81.25,-0.0006219,0.0004286,81.25,0.0000556,-0.0008678,81.25,-0.0003196,0.0002119,81.25,6.2509842,-0.2509561,81.25,-1.0525198,-18.4585648
,87.5,-0.0043055,0.0014729,87.5,0.0004652,0.0001552,87.5,-0.0036209,0.0008079,87.5,0.0038795,0.0013791,87.5,7.1600075,0.8890481,87.5,21.4657955,11.6455746
,93.75,0.0073283,0.0021933,93.75,0.0001652,0.0014224,93.75,0.0038593,-0.0004412,93.75,-0.0033893,0.0002994,93.75,-8.0713053,0.7411635,93.75,-30.9663277,7.3819122
,100,-0.0052619,-0.0081663,100,-0.0001109,-0.0017627,100,-0.0011265,0.0012148,100,0.0013004,-0.0024032,100,-4.1852994,-5.2047796,100,25.3944588,-10.0637541
,106.25,-0.002766,0.0085177,106.25,-0.0005365,0.0001461,106.25,0.0014521,-0.0016833,106.25,-0.0021569,0.001094,106.25,5.116293,5.2082033,106.25,-12.5383482,0.9071915
,112.5,0.0072955,-0.0045958,112.5,0.0000744,-0.0002993,112.5,-0.0037812,-0.0004136,112.5,0.0026264,0.0006235,112.5,-3.0708568,-3.7604928,112.5,-4.5316014,2.9772398
,118.75,-0.0118796,0.011979,118.75,0.000854,0.002057,118.75,0.0022699,0.003595,118.75,0.0000644,0.0005393,118.75,7.8486743,4.7086954,118.75,12.853301,-1.1056159
,125,0.0138144,-0.015771,125,0.0000865,-0.0030257,125,0.0014289,-0.0034582,125,-0.0018508,-0.0027844,125,-9.6551743,-4.0142145,125,-17.0594044,-6.5311065
,131.25,-0.0104809,0.0117315,131.25,-0.0008981,0.0021899,131.25,-0.0019052,0.0012006,131.25,0.0014066,0.0028392,131.25,10.4932394,-6.5709496,131.25,21.9779797,14.1218004
,137.5,0.0056822,-0.0097834,137.5,0.0013194,-0.0015411,137.5,0.0016494,-0.0010791,137.5,-0.0001235,-0.0018742,137.5,-10.2585382,12.8053837,137.5,-14.2835541,-14.0051947
,143.75,-0.0072883,-0.0023877,143.75,-0.0006009,0.0014521,143.75,-0.0020741,0.0037378,143.75,0.0011514,0.0004947,143.75,0.0007153,-5.9396338,143.75,4.886714,-0.057816
