C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_9.xdf,12.12.24,16:28:06,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,156.25,-0.0131263,-0.0167733,156.25,0.0014551,-0.0050008,156.25,0.0066582,-0.0007465,156.25,-0.0021961,-0.0064021,156.25,15.5131063,-115.4999466,156.25,-36.3394585,-45.1311569
,162.5,0.0333336,-0.0024824,162.5,0.0008254,-0.0029291,162.5,-0.0002476,0.0010288,162.5,0.0073138,-0.0052871,162.5,-52.8179207,95.6120834,162.5,18.7509556,35.6887093
,168.75,-0.0020444,0.0601384,168.75,0.0123058,-0.0195665,168.75,0.0210887,0.023643,168.75,0.0244476,-0.0509684,168.75,34.9524193,-12.8001175,168.75,-4.7118196,17.5484009
,175,-0.0018077,-0.056815,175,-0.0455877,0.0708143,175,-0.0789244,-0.0750838,175,-0.0948407,0.1771541,175,-4.5679026,-43.8118706,175,-24.4050941,-57.1497498
,181.25,-0.0228201,0.0021127,181.25,0.0343307,-0.0509719,181.25,0.0656887,0.0615909,181.25,0.0700413,-0.1375723,181.25,2.0588682,69.0419235,181.25,57.7314987,96.3512497
,187.5,0.027338,-0.0041773,187.5,0.0019034,-0.0020352,187.5,-0.012427,-0.0145445,187.5,0.006142,0.0156649,187.5,9.5078106,-88.0316238,187.5,-30.0380745,-146.5209045
,193.75,-0.0042899,-0.0775263,193.75,-0.0060234,0.0066003,193.75,0.000932,0.0048607,193.75,-0.0139617,0.0016099,193.75,-14.3737755,60.7636375,193.75,-24.4147301,104.207222
,200,-0.0597121,0.1228104,200,0.002339,-0.0008043,200,0.0018285,-0.0036852,200,0.0019644,0.0036614,200,3.9246411,-17.1715965,200,33.8232307,-29.3191757
,206.25,0.0344586,0.0063771,206.25,-0.0018744,0.0002334,206.25,0.0000712,0.0012632,206.25,-0.0019441,-0.0011053,206.25,-1.4410051,4.2530236,206.25,-13.8358631,11.1619787
,212.5,0.0655729,-0.0658238,212.5,0.0009947,0.0005838,212.5,-0.0028771,0.001069,212.5,0.0034969,-0.0006451,212.5,1.9931532,1.9036428,212.5,30.3071499,11.3746948
,218.75,-0.0792132,0.0439172,218.75,-0.0001206,-0.0008911,218.75,0.0017122,-0.0021187,218.75,-0.0028732,0.001734,218.75,-0.6575118,-6.5165901,218.75,-38.9198875,-40.16465
,225,0.041457,-0.0132082,225,-0.0018735,0.0012899,225,-0.0023437,0.0003484,225,0.0006028,0.0000252,225,6.2077141,-3.9103198,225,-5.8948479,44.0763969
,231.25,-0.0093474,-0.0310124,231.25,0.0012225,-0.0000412,231.25,0.0011827,0.0012345,231.25,0.0001119,-0.0005933,231.25,-8.4398403,4.5287004,231.25,8.3387938,-33.1001205
,237.5,-0.01296,0.0650508,237.5,0.0006715,-0.0015891,237.5,0.0004846,-0.0019041,237.5,0.0001571,0.0004531,237.5,4.1755724,0.1509331,237.5,20.4599495,19.7839909
,243.75,0.0215063,-0.0634607,243.75,-0.0013159,0.0007738,243.75,-0.0008663,0.0020185,243.75,-0.000325,-0.000823,243.75,-11.9670277,13.1563721,243.75,-1.602102,-12.5671711
,250,-0.0197766,0.0246798,250,0.0009198,0.0010013,250,0.0002352,-0.0015582,250,0.0004559,0.0012059,250,14.3601818,-5.9335895,250,-18.2611713,2.9381068
,256.25,-0.0020096,-0.0293675,256.25,-0.0000331,-0.0015403,256.25,0.0005522,0.0001031,256.25,-0.0000803,-0.0004361,256.25,-7.3062043,0.3609337,256.25,12.3720598,10.6149092
,262.5,0.0162118,0.0980924,262.5,-0.0001846,0.001042,262.5,-0.0006818,-0.0000657,262.5,-0.0007635,0.0000307,262.5,0.6179155,-3.9178994,262.5,-3.0445004,-3.2287188
,268.75,-0.006792,-0.1504869,268.75,0.0002628,0.0003023,268.75,-0.000278,0.0013014,268.75,0.0014592,0.0006775,268.75,7.6610622,-15.7608414,268.75,-5.9604669,-14.2202244
,275,0.0051181,0.0921924,275,-0.0010242,-0.0002223,275,-0.0002026,-0.000541,275,-0.0011334,-0.001031,275,22.6701508,0.8784201,275,6.8231282,10.6448441
,281.25,-0.0205278,0.0277283,281.25,0.0010008,-0.0006484,281.25,0.0011448,-0.0000377,281.25,0.0000877,0.0005479,281.25,-63.2742767,10.5729465,281.25,-9.7257948,1.611575
,287.5,0.0519055,-0.0613522,287.5,-0.0016397,0.0009569,287.5,0.0000671,-0.0006784,287.5,-0.0009205,0.0002794,287.5,38.0282097,31.7787991,287.5,14.2371922,-9.7993507
,293.75,-0.0493048,0.01594,293.75,0.0056262,-0.0016341,293.75,0.0023383,-0.0001006,293.75,0.003577,-0.0012611,293.75,13.0859222,-61.7710152,293.75,-12.8889332,10.7671013
,300,-0.0034876,0.0494971,300,-0.0072822,0.0018277,300,-0.0061405,0.002101,300,-0.0040612,0.0014446,300,-34.9002686,33.6068916,300,-1.1165872,-1.9662862
,306.25,-0.0262221,-0.1651895,306.25,0.0007062,0.0015571,306.25,0.0020162,-0.0013669,306.25,0.000247,0.0003543,306.25,27.4486179,1.1709979,306.25,18.4937725,-13.0450239
