C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_3_5.xdf,12.12.24,15:06:47,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.003717,0,0,-0.0237595,0,0,0.0230371,0,0,70.4916153,0,0,-71.3391724,0
,6.25,-0.0000004,0.0000044,6.25,-0.0021042,0.0002006,6.25,0.017421,-0.0010363,6.25,-0.0169064,0.0004604,6.25,-51.8300896,-21.2696362,6.25,46.4374352,36.4728889
,12.5,-0.0000129,-0.0000167,12.5,-0.0005527,0.0004465,12.5,-0.0006485,0.0007672,12.5,0.0007342,-0.0004001,12.5,0.7933998,27.4832478,12.5,33.7268066,-25.230135
,18.75,0.0000295,-0.0001537,18.75,-0.0004932,-0.0005394,18.75,-0.0003612,-0.0014624,18.75,0.000159,0.0016345,18.75,-0.5620137,-8.2699976,18.75,-34.8422318,2.3767166
,25,-0.0000409,0.0003654,25,0.0006307,0.0002477,25,0.0002468,0.0014731,25,-0.0006158,-0.0019525,25,1.7919183,-7.1979432,25,-1.4508848,6.1234603
,31.25,-0.0001238,-0.0002391,31.25,-0.0000155,-0.0002658,31.25,0.0003432,-0.0007814,31.25,0.0006461,0.0004404,31.25,-0.7897719,4.0159717,31.25,8.1980801,-4.333168
,37.5,0.000002,-0.000021,37.5,0.0002147,0.0003486,37.5,0.0000045,0.0008709,37.5,-0.0000285,0.0001032,37.5,6.9225788,3.3673003,37.5,-8.0166416,-29.5883312
,43.75,0.0000149,0.0005845,43.75,-0.0004277,-0.0000515,43.75,-0.0010399,-0.0001683,43.75,0.000472,0.0008043,43.75,-14.9532843,-7.2298422,43.75,19.297842,52.5539932
,50,-0.0003016,-0.0008258,50,0.0006787,0.0002391,50,0.002303,-0.0002915,50,-0.0012587,-0.0003372,50,11.444006,8.2578192,50,-22.994957,-24.7171383
,56.25,0.0006523,-0.0005019,56.25,-0.0025349,-0.0021449,56.25,-0.0036018,-0.0014632,56.25,-0.0009047,-0.0024985,56.25,-2.2052097,-7.7470837,56.25,6.7085905,6.9425054
,62.5,-0.0001096,0.0014063,62.5,0.0029796,0.0023459,62.5,0.0028363,0.0018602,62.5,0.0017643,0.0029291,62.5,0.405093,4.5685811,62.5,11.6681223,-8.8829622
,68.75,-0.0001336,-0.001135,68.75,-0.0004492,-0.0002267,68.75,0.0005957,-0.0002271,68.75,-0.0014248,-0.0014354,68.75,-1.997304,-5.2593007,68.75,-12.0612993,3.050571
,75,0.0001907,0.001124,75,-0.0005673,-0.0005525,75,-0.0024891,-0.0004922,75,0.0030791,0.0012762,75,-0.1464911,8.6052828,75,10.350811,3.2256238
,81.25,-0.0007825,-0.0004672,81.25,-0.0006027,0.0001583,81.25,0.0018996,-0.0000507,81.25,-0.0031598,-0.0009894,81.25,6.791615,-7.5099201,81.25,-10.8026285,-1.5946877
,87.5,0.0009852,0.0002336,87.5,0.0013165,0.000146,87.5,-0.0014184,0.0003874,87.5,0.0020075,0.0013033,87.5,-9.9265652,4.1699548,87.5,7.8949485,0.9182758
,93.75,0.0008464,-0.0013826,93.75,-0.001063,-0.0000393,93.75,0.0005988,0.000607,93.75,-0.0002515,-0.001812,93.75,6.3229718,1.5364465,93.75,-2.8780711,-2.7702875
,100,-0.0015677,0.0018162,100,0.0002444,-0.0000145,100,0.0001427,-0.0005151,100,-0.000878,0.0009715,100,3.3037429,-8.9279737,100,0.6647252,-0.4911406
,106.25,0.0019746,-0.0011329,106.25,0.0005846,-0.0005262,106.25,0.0000846,0.0005267,106.25,0.0011378,-0.0013589,106.25,-7.2187409,5.0907917,106.25,-12.4596682,2.3206882
,112.5,-0.0035899,0.0014347,112.5,0.0005178,0.0006424,112.5,0.0016126,-0.0011131,112.5,-0.0009271,0.0018608,112.5,-2.554903,9.0411129,112.5,17.5728588,-1.0022519
,118.75,-0.0027827,-0.0020969,118.75,-0.0017702,0.0001595,118.75,-0.0037969,0.001065,118.75,0.0006013,-0.000675,118.75,4.0124426,-8.3973436,118.75,-9.595027,1.7120894
,125,0.0054682,-0.0002483,125,0.0002259,-0.0008717,125,0.0010476,-0.0019532,125,-0.0010002,0.0006198,125,0.1707598,-4.0076485,125,8.5411987,-2.9375744
,131.25,0.005036,0.0037362,131.25,0.0014266,0.000295,131.25,0.001791,0.0015671,131.25,0.0010303,-0.0011835,131.25,5.1573186,9.5968771,131.25,-8.9408579,2.5665541
,137.5,-0.0063033,-0.0051429,137.5,-0.000974,-0.0002388,137.5,-0.0006301,0.0000105,137.5,-0.0000641,-0.0000416,137.5,-7.3156419,-8.2343178,137.5,4.9115701,-7.1449256
,143.75,-0.0013806,0.0064137,143.75,0.0001389,-0.0008326,143.75,-0.0002159,-0.0001018,143.75,-0.0004588,-0.0007342,143.75,-1.0634389,7.3466883,143.75,-0.1201427,10.465806
