C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_4.xdf,12.12.24,16:59:33,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.0349365,0,0,-0.0642516,0,0,0.0236444,0,0,-29.0208359,0,0,109.9625244,0
,6.25,0.0000213,-0.0000003,6.25,-0.0233102,-0.0046016,6.25,0.0465599,0.0008831,6.25,-0.0167316,0.0105629,6.25,10.536459,-3.6137543,6.25,-38.4831047,88.3074265
,12.5,-0.0000834,-0.0000574,12.5,-0.0009623,0.0002112,12.5,-0.0011492,-0.0010282,12.5,-0.0006374,-0.0022698,12.5,-2.2511084,7.5346971,12.5,-43.3045082,-77.9902573
,18.75,0.0001257,0.000183,18.75,-0.0000928,0.0021902,18.75,0.0008086,0.0024764,18.75,0.0014505,-0.0000381,18.75,23.6289444,-13.4621191,18.75,-12.3699541,38.5425377
,25,-0.0003692,0.0000091,25,-0.0004218,-0.0012921,25,-0.0012595,-0.0023088,25,-0.0004205,-0.0005832,25,-19.8284988,9.0878029,25,26.9537754,-23.573555
,31.25,0.001417,0.0007069,31.25,-0.000026,-0.0004982,31.25,0.0004269,0.0000269,31.25,-0.0009842,-0.0004998,31.25,14.8117313,3.0282252,31.25,-21.0515556,13.8863945
,37.5,-0.0021174,-0.0004033,37.5,0.0003732,0.0012267,37.5,0.0007501,-0.0001684,37.5,0.0006314,0.0002677,37.5,-14.3236713,-4.7320213,37.5,2.3792961,3.9591246
,43.75,0.0029967,-0.001798,43.75,-0.0001557,0.0000668,43.75,-0.0003813,0.0022933,43.75,-0.0000375,-0.0005616,43.75,11.8942614,-1.6191771,43.75,13.2979364,-14.621191
,50,-0.0047772,-0.0006289,50,0.0006494,-0.0005916,50,-0.0009006,-0.001469,50,0.001639,0.001025,50,1.3338118,-1.6148825,50,-8.7946148,3.5740008
,56.25,0.0028336,0.0024923,56.25,-0.004373,-0.0011301,56.25,-0.0018784,-0.0021855,56.25,-0.0058432,-0.0014191,56.25,-7.8255224,2.6607387,56.25,4.0304084,4.9423556
,62.5,-0.0002171,0.0001164,62.5,0.005426,0.0012991,62.5,0.0028333,0.0026789,62.5,0.0058413,0.0009831,62.5,2.3871481,0.7227939,62.5,10.8359861,-7.7135201
,68.75,0.0013038,0.0001018,68.75,-0.0011507,0.0002792,68.75,0.0006869,-0.000424,68.75,-0.0008973,-0.0005129,68.75,0.0510282,7.9604559,68.75,-12.8389053,11.3028536
,75,-0.0035534,-0.0034458,75,-0.0013963,-0.0001103,75,-0.0008065,-0.000315,75,-0.0006966,0.0006009,75,3.0360069,-15.7087421,75,-10.2361984,-2.0274608
,81.25,0.0051338,0.0035483,81.25,0.0011103,0.0001946,81.25,0.0003331,0.0006697,81.25,-0.0001469,-0.000432,81.25,-5.2476168,16.5851479,81.25,28.7883396,-16.2309723
,87.5,-0.0053665,0.002189,87.5,-0.001442,-0.0010525,87.5,-0.0006719,-0.0005554,87.5,-0.0009447,-0.0004919,87.5,0.81994,-15.3834553,87.5,-26.2115269,10.5402117
,93.75,0.0037244,-0.0032573,93.75,0.0016512,0.0010428,93.75,-0.0004771,-0.0009245,93.75,0.0015942,0.0015996,93.75,8.0798273,16.7849026,93.75,9.1315632,13.7032766
,100,-0.0029063,-0.0014227,100,0.0000019,-0.0004434,100,0.0011067,0.0008532,100,-0.0004726,-0.0014889,100,-12.76089,-14.6236696,100,5.5937791,-12.8813
,106.25,0.0017906,-0.0036581,106.25,-0.0001247,-0.0005209,106.25,-0.000603,0.0007844,106.25,0.0008088,-0.000064,106.25,0.6564261,0.6283834,106.25,-3.3123069,1.0474089
,112.5,0.0095429,0.0095804,112.5,-0.0002323,0.0007985,112.5,0.0022323,0.0006335,112.5,-0.0010401,-0.0009802,112.5,12.1287689,-1.0527004,112.5,-4.4483953,8.0328865
,118.75,-0.0310514,-0.0180637,118.75,-0.0025367,-0.0006709,118.75,-0.0029498,-0.005307,118.75,-0.0019302,0.0034336,118.75,-11.883709,16.9189358,118.75,-3.429893,-11.0127211
,125,0.0320044,0.0328338,125,0.0046668,0.0004565,125,0.0023156,0.0058283,125,0.0026776,-0.0027797,125,12.5755453,-17.9122162,125,2.2998729,-5.1826653
,131.25,-0.0114929,-0.0214688,131.25,-0.0018721,0.0000474,131.25,-0.0006294,-0.0017889,131.25,-0.0004463,0.0003772,131.25,-8.9958191,7.8292356,131.25,7.7478881,8.7656326
,137.5,0.0199614,-0.0171894,137.5,-0.003813,-0.0006737,137.5,-0.0036966,0.0016438,137.5,-0.0019878,-0.0006159,137.5,-7.6878171,-2.7221744,137.5,-5.7886696,1.062429
,143.75,-0.0353509,0.0312111,143.75,0.0049771,-0.0022484,143.75,0.0061378,-0.0033035,143.75,0.0023332,-0.0022756,143.75,19.0734406,-0.9015665,143.75,6.819252,-2.2483456
