C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_2.xdf,12.12.24,17:05:47,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0138943,0,0,-0.0102235,0,0,-0.0045586,0,0,127.4365921,0,0,367.1560059,0
,6.25,-0.0000043,-0.0000097,6.25,0.008226,0.0043936,6.25,0.0079686,-0.0007582,6.25,0.0028625,-0.0066475,6.25,-106.8377228,20.7619209,6.25,-281.7530212,23.8589725
,12.5,-0.0000377,0.0000219,12.5,0.0022937,-0.0011653,12.5,-0.0012339,0.0003321,12.5,0.0000992,0.0019327,12.5,26.4003487,-11.3926744,12.5,18.3540382,-76.5294952
,18.75,0.0000162,0.0000663,18.75,0.0000739,-0.0004151,18.75,0.0012569,0.0000706,18.75,0.0010901,0.0000493,18.75,-7.4498916,11.2806215,18.75,29.2455463,53.5263214
,25,0.0001508,-0.0001206,25,-0.0010155,0.0001561,25,-0.000591,-0.0006988,25,-0.001086,0.0006288,25,-3.8257115,-6.7758479,25,-31.7142467,-8.5779181
,31.25,-0.0002699,0.0009691,31.25,-0.0001023,-0.0004433,31.25,-0.0005338,0.0008143,31.25,0.0000961,-0.0007261,31.25,3.9680538,-16.6771603,31.25,8.2833948,-19.7840614
,37.5,0.0002358,-0.001324,37.5,0.0000003,0.0007308,37.5,0.0001975,0.0001563,37.5,0.0003042,0.000563,37.5,-8.3163366,20.3178806,37.5,6.3979259,25.2242756
,43.75,0.0003275,0.0004965,43.75,0.0007501,-0.0009751,43.75,0.00035,-0.0004424,43.75,-0.0007421,-0.0006349,43.75,9.6687393,-13.2362299,43.75,-15.7440348,12.5078287
,50,-0.0003355,-0.0016034,50,-0.0017643,0.0014086,50,-0.0009299,0.0006588,50,0.000146,0.0005961,50,-5.8012786,21.6585484,50,1.8176595,-33.3195229
,56.25,-0.0018207,0.0048028,56.25,0.0038299,-0.0024611,56.25,0.0029753,-0.0022967,56.25,0.0033616,-0.0003794,56.25,7.5661082,-20.8087368,56.25,5.5218396,19.6614552
,62.5,0.0012548,-0.0080651,62.5,-0.0037411,0.0024081,62.5,-0.0033081,0.0016732,62.5,-0.0050487,0.0008939,62.5,-2.590965,16.9045048,62.5,0.5682919,-8.310092
,68.75,0.0017242,0.0068293,68.75,0.0022609,-0.0005118,68.75,0.0015502,0.0005499,68.75,0.0015776,-0.0006616,68.75,-4.6045985,-19.3115845,68.75,-5.7643342,10.7284508
,75,0.0005357,-0.0030214,75,-0.0020039,-0.000092,75,-0.0019854,-0.0001033,75,0.0017861,0.0005572,75,-10.593976,9.3460321,75,4.7476726,-3.3435316
,81.25,-0.0014995,0.0039334,81.25,0.0009951,-0.0010537,81.25,0.0023635,-0.0010298,81.25,-0.0019878,-0.0005353,81.25,13.7172976,0.5686967,81.25,6.0319891,2.9882181
,87.5,-0.0000121,-0.0053855,87.5,-0.0006761,0.0012306,87.5,-0.0020053,-0.0001522,87.5,0.0009287,0.0003631,87.5,3.105381,0.711453,87.5,-1.3858989,-15.883625
,93.75,-0.0020847,0.006003,93.75,0.0015028,-0.0010342,93.75,0.0019894,0.0009332,93.75,-0.000395,-0.0007768,93.75,3.3974438,-4.038435,93.75,-13.0812683,10.3991909
,100,-0.0011577,-0.0066126,100,-0.0007499,0.0002661,100,-0.0007339,0.0004344,100,0.0000017,-0.0001923,100,-8.7712011,8.9494162,100,14.4891586,-1.4653844
,106.25,0.0068151,0.0015665,106.25,-0.0004347,0.0018082,106.25,-0.0012629,-0.0009631,106.25,0.0009771,0.0025253,106.25,-6.9991369,-14.6209745,106.25,-3.5506518,7.211009
,112.5,-0.006703,-0.0000755,112.5,0.0004817,-0.0031506,112.5,0.0025621,-0.0007895,112.5,-0.0010042,-0.0037479,112.5,13.4918623,11.6036596,112.5,-15.2342043,-4.3845849
,118.75,-0.0090112,0.0090878,118.75,0.000006,0.0035678,118.75,-0.002106,0.001482,118.75,0.0007856,0.0036762,118.75,-8.5908976,-6.7395101,118.75,20.1357193,-7.511631
,125,0.0185074,0.0020025,125,-0.00023,-0.0025039,125,0.001088,0.0000665,125,-0.001892,-0.0021533,125,12.0365257,8.7327375,125,3.3185484,9.7152395
,131.25,0.0013569,-0.0238963,131.25,0.0001888,0.0012998,131.25,-0.0006958,-0.0004077,131.25,0.0020236,0.0007517,131.25,-18.5864487,-10.9983349,131.25,-21.1556511,-12.6767178
,137.5,-0.0091731,0.0140554,137.5,-0.0001002,-0.0012993,137.5,0.0007907,0.0000739,137.5,-0.0015637,-0.0010491,137.5,13.7935419,11.4173927,137.5,20.2506714,16.4005756
,143.75,-0.0020239,0.0039788,143.75,-0.000555,0.0017203,143.75,-0.0012736,-0.0000577,143.75,0.0011021,0.0019944,143.75,-9.9056311,-12.8851585,143.75,-9.3267508,-11.4402647
