C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_6_8.xdf,12.12.24,16:33:59,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.03706,0,0,0.0556372,0,0,-0.0422937,0,0,-89.9540024,0,0,-30.2314339,0
,6.25,-0.000003,-0.0000123,6.25,-0.0256717,0.000429,6.25,-0.0390003,-0.0024066,6.25,0.0305839,0.0049923,6.25,90.0103455,114.7112732,6.25,40.2848282,78.9002151
,12.5,-0.0000148,0.0000397,12.5,0.0000547,0.0003983,12.5,0.000299,-0.0009065,12.5,-0.0013108,-0.0008796,12.5,-47.5477219,-275.1628723,12.5,-62.5433617,9.1338186
,18.75,0.0000604,0.0000198,18.75,-0.0009358,-0.0005872,18.75,-0.0001791,0.0008746,18.75,0.0001055,-0.0016531,18.75,34.1408882,107.5895767,18.75,72.6960983,-52.1041336
,25,0.0001101,0.000344,25,0.0008326,0.0007425,25,-0.0013991,0.0003023,25,0.000968,0.0010529,25,-19.8039761,75.4193497,25,-48.515934,59.2651443
,31.25,0.000278,-0.0004561,31.25,-0.0007119,0.0000247,31.25,0.0002629,0.0005525,31.25,-0.0005486,-0.0000848,31.25,35.3001289,-46.6401672,31.25,103.0415497,-20.8338528
,37.5,-0.0021032,-0.000967,37.5,0.0001397,-0.0000364,37.5,0.0007667,-0.0000889,37.5,0.000298,-0.0005099,37.5,-78.6041489,9.8492775,37.5,-140.9381409,19.8300838
,43.75,0.0036747,0.0014264,43.75,0.0004494,-0.0008741,43.75,-0.0001776,-0.002445,43.75,-0.0001908,0.0018706,43.75,84.2518921,-54.1925049,43.75,-45.4512024,-113.4682693
,50,-0.0029095,0.0015587,50,-0.0010882,0.0004922,50,0.0004354,0.0044264,50,-0.0006254,-0.0033973,50,-21.3161182,110.4991837,50,154.1438751,75.7383881
,56.25,0.0026247,-0.0029989,56.25,0.0031472,0.0010321,56.25,0.001591,-0.0034245,56.25,0.0025004,0.0026547,56.25,-22.1294575,-53.1462936,56.25,-21.0451965,14.7330875
,62.5,-0.0010829,0.0020115,62.5,-0.0036879,-0.0011478,62.5,-0.0028079,0.0016391,62.5,-0.001811,-0.0019281,62.5,9.4820414,25.3571262,62.5,-40.351265,-15.6440763
,68.75,-0.005314,-0.0004023,68.75,0.0013926,-0.0001739,68.75,0.0014492,-0.0008289,68.75,-0.0006004,0.0015133,68.75,-16.8695374,-56.2205849,68.75,16.4601955,8.8899145
,75,0.0084667,-0.0012668,75,-0.0003465,0.0011278,75,-0.0010203,0.0003328,75,0.000252,0.0004681,75,42.6840897,21.5487499,75,-9.0858202,-17.8501644
,81.25,-0.0061238,0.0010447,81.25,0.0003536,-0.0014144,81.25,-0.0007604,0.0002891,81.25,0.0015836,-0.0023605,81.25,-45.268074,22.2697449,81.25,12.6939154,6.9875469
,87.5,0.0007388,-0.0009131,87.5,-0.0000175,0.0012899,87.5,0.0015675,-0.0011507,87.5,-0.0018525,0.0026027,87.5,19.3982162,-44.2929993,87.5,-17.3202,13.64044
,93.75,0.0016481,0.0055797,93.75,-0.0006383,-0.0019202,93.75,0.0005241,0.0010736,93.75,-0.0003966,-0.0021309,93.75,0.6087024,48.9332886,93.75,2.0247953,-0.6105787
,100,-0.001661,-0.0092072,100,0.0004603,0.0013092,100,-0.0018935,-0.0011961,100,0.0017616,0.0011127,100,22.8454933,-12.5078878,100,8.5623741,-16.5760002
,106.25,0.0063905,0.0051494,106.25,0.0006647,0.0003278,106.25,0.0002674,0.0023758,106.25,0.0000185,-0.0010449,106.25,-31.3508816,-13.6119528,106.25,-9.3464317,13.2863083
,112.5,-0.0042201,-0.0017064,112.5,0.0006163,-0.0008911,112.5,0.0044978,-0.0018219,112.5,-0.0010383,0.0010448,112.5,13.7921591,24.1860142,112.5,-5.4762778,-17.6707878
,118.75,-0.0151666,-0.001377,118.75,-0.0037479,0.0008613,118.75,-0.0107753,-0.0015121,118.75,0.0030247,0.000287,118.75,-14.2371826,-65.4618378,118.75,56.9079285,78.2962341
,125,0.0309301,0.0086965,125,0.0024056,0.0000424,125,0.0086386,0.0034242,125,-0.0049815,0.0006856,125,-7.1486359,77.4128571,125,-67.8083115,-107.692894
,131.25,-0.0169165,-0.0010675,131.25,0.001567,-0.0024495,131.25,-0.0000901,-0.0016908,131.25,0.0022574,-0.0030199,131.25,36.2735634,-65.3903656,131.25,26.4516296,20.1280899
,137.5,-0.0162794,-0.0300924,137.5,-0.0007258,0.0049734,137.5,-0.0003149,0.0019064,137.5,0.0004711,0.0040401,137.5,-19.4673023,36.2427216,137.5,1.5314674,17.923769
,143.75,0.024086,0.0368885,143.75,-0.0016532,-0.004058,143.75,-0.0019714,-0.001911,143.75,-0.0013137,-0.0035804,143.75,-7.255846,-9.3024368,143.75,-9.8373871,-3.2585919
