C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5_5.xdf,12.12.24,15:46:25,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,-0.0669233,0,0,-0.004131,0,0,-0.0277304,0,0,-6.5451069,0,0,198.7579193,0
,6.25,0.0000038,-0.0000061,6.25,0.046831,-0.0040662,6.25,0.0040833,-0.0028266,6.25,0.0190564,0.002549,6.25,-4.9174604,6.225327,6.25,-142.1142426,24.5814514
,12.5,-0.0000086,0.0000149,12.5,0.0007502,0.0009417,12.5,-0.0022751,0.0015849,12.5,0.001343,-0.0016461,12.5,0.8712064,-22.6603069,12.5,21.2119141,9.8285065
,18.75,0.0000295,0.0001784,18.75,-0.0000812,0.0010177,18.75,0.0015589,0.0007606,18.75,-0.000853,0.0018104,18.75,-0.7930258,-20.4665718,18.75,-40.5243416,-43.7006226
,25,0.0003171,-0.0001991,25,-0.0003118,-0.0011146,25,-0.0001112,-0.002096,25,-0.0003808,-0.0021863,25,11.2252512,49.8307343,25,15.6978893,40.5720749
,31.25,-0.0008811,-0.000175,31.25,0.0001052,0.0005372,31.25,-0.0006075,0.0008649,31.25,0.0005846,0.0013948,31.25,6.4174447,-11.8545294,31.25,29.1639042,14.57409
,37.5,0.0008884,0.0003064,37.5,0.0001486,0.0005311,37.5,0.0006495,0.0007286,37.5,0.0000689,-0.0006988,37.5,2.0129533,-11.1422234,37.5,-93.2855072,-90.2540741
,43.75,-0.0002784,-0.0004801,43.75,-0.0002102,-0.0013733,43.75,-0.0004377,-0.002523,43.75,-0.0012531,0.0007534,43.75,-26.3034687,-23.2996368,43.75,105.5795288,129.5849457
,50,0.0013625,0.0010785,50,-0.0003659,0.0030368,50,-0.0010273,0.004974,50,0.0012393,-0.0007461,50,21.7877941,47.8858643,50,-38.2589378,-94.6601334
,56.25,-0.0027641,-0.000213,56.25,0.000838,-0.0055145,56.25,0.0021554,-0.0062015,56.25,0.0009137,-0.0018668,56.25,-3.5640035,-13.145772,56.25,12.627924,31.9516239
,62.5,0.0007773,-0.0007908,62.5,0.0002383,0.0043008,62.5,-0.0012997,0.0044669,62.5,-0.0009888,0.0026534,62.5,-11.4716434,-14.0119934,62.5,-8.451211,2.4457026
,68.75,-0.0013747,-0.0026103,68.75,-0.0013345,-0.0004474,68.75,-0.0001184,-0.001317,68.75,-0.000269,0.0012122,68.75,16.9549007,10.4220343,68.75,-12.6783361,-10.0551043
,75,0.00254,0.0062114,75,0.0010634,-0.0006302,75,0.0002388,0.0005638,75,0.0000061,-0.0030479,75,4.6754379,-16.393261,75,27.9092655,-1.37488
,81.25,0.0004677,-0.0044518,81.25,-0.000178,0.0003457,81.25,0.0006611,-0.0009554,81.25,0.0009436,0.0022441,81.25,-40.9490166,16.4009914,81.25,-37.172596,2.3175128
,87.5,-0.0012917,-0.0005688,87.5,-0.0005948,0.0004379,87.5,-0.0007137,0.0006347,87.5,-0.0016,-0.0009712,87.5,43.4396706,1.2106665,87.5,38.7673531,17.1289101
,93.75,0.0007153,0.0031639,93.75,0.0005003,-0.0016222,93.75,0.0005834,-0.00035,93.75,0.0000456,-0.0007549,93.75,-4.0034618,-7.4057865,93.75,-13.6857548,-19.9332619
,100,0.0003497,-0.0029378,100,0.0001652,0.0017836,100,-0.001437,0.0003316,100,0.0024701,0.0013161,100,4.627254,-6.6163006,100,-21.4881992,2.3790147
,106.25,-0.0024743,0.0044767,106.25,0.000066,-0.0006799,106.25,0.0016036,0.0008467,106.25,-0.0020965,-0.0016088,106.25,-56.2759857,-7.1998897,106.25,26.8703556,8.8182287
,112.5,0.0017816,0.0025232,112.5,-0.0012429,-0.0007437,112.5,-0.0003344,-0.0021347,112.5,-0.0006803,0.0014014,112.5,64.9470825,29.9705429,112.5,-23.670332,-11.3692636
,118.75,0.0029693,-0.004854,118.75,0.0013778,0.0007904,118.75,0.0000107,0.0031755,118.75,0.0017935,-0.0015767,118.75,-22.6945877,2.0300102,118.75,32.9688492,14.1653824
,125,-0.0065001,-0.007697,125,-0.0005053,-0.0013719,125,0.0011523,-0.0045608,125,-0.00199,0.0014872,125,-4.8857508,-6.0259767,125,-38.1850586,4.9631343
,131.25,0.0015416,0.0048396,131.25,-0.0006998,0.0018983,131.25,-0.002095,0.0031375,131.25,0.0010343,0.000137,131.25,-3.4874959,-11.0704985,131.25,17.0936222,-20.1882706
,137.5,0.0036487,0.0000335,137.5,0.0019097,-0.0015643,137.5,0.0017575,-0.0000057,137.5,0.0006494,-0.002254,137.5,18.9518948,-15.5998907,137.5,14.6643229,-3.0921483
,143.75,0.0021019,0.0077652,143.75,-0.0017144,-0.0032904,143.75,0.0013298,-0.0020575,143.75,-0.0017977,-0.0022922,143.75,-23.033371,18.5678482,143.75,-21.4364204,4.0494251
