C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_3_3.xdf,12.12.24,15:13:44,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,0,0,0,0,0.026137,0,0,0.0116114,0,0,-0.0041337,0,0,50.9871445,0,0,29.65835,0
,6.25,-0.0000117,0.0000015,6.25,-0.0180842,0.0000558,6.25,-0.008461,-0.0051714,6.25,0.0027807,-0.0025715,6.25,-27.3170738,11.4817924,6.25,-18.7892132,52.0032158
,12.5,0.0000374,-0.000018,12.5,-0.0004446,-0.0004033,12.5,0.0007435,0.0010397,12.5,0.0001299,0.0005192,12.5,-9.0140715,1.4762819,12.5,-4.5642195,-39.8090057
,18.75,-0.0000961,0.0000352,18.75,0.0000091,0.0002294,18.75,-0.0013771,0.0003124,18.75,0.0006278,0.0003334,18.75,-0.527189,-3.3617213,18.75,11.834631,8.8024206
,25,0.0001547,0.000137,25,-0.0001445,0.0001162,25,0.001489,0.0006031,25,-0.0011795,-0.0003027,25,1.8681003,-6.5910277,25,-17.3767452,3.6985283
,31.25,-0.0001566,-0.0003247,31.25,0.0001853,-0.0004958,31.25,-0.0008148,-0.0003137,31.25,0.0007587,0.0002078,31.25,-2.8320136,6.7285581,31.25,16.6295128,-3.1291661
,37.5,-0.0000494,-0.0000787,37.5,0.0002771,0.0005021,37.5,0.0006492,0.0000943,37.5,-0.0004389,0.0000861,37.5,3.9189417,-0.4099795,37.5,-15.1903191,-1.2985469
,43.75,0.0004681,0.0010559,43.75,-0.0001531,0.0001959,43.75,-0.0007948,0.001248,43.75,0.0012314,-0.0004232,43.75,-2.3587029,-1.9713268,43.75,15.2408457,7.1208453
,50,-0.0003994,-0.001155,50,0.0004511,-0.0004243,50,0.0022055,-0.0017982,50,-0.0005624,0.0004632,50,0.4598639,-5.391006,50,-17.1245594,-4.0331707
,56.25,-0.0003864,0.0005512,56.25,-0.0036194,-0.0012815,56.25,-0.0050428,-0.0010637,56.25,-0.0042467,-0.0014819,56.25,-2.6744666,7.7344804,56.25,9.7259541,-2.6830449
,62.5,-0.0000273,-0.0022997,62.5,0.0047935,0.002263,62.5,0.004046,0.0027993,62.5,0.0063918,0.0013736,62.5,3.7705543,-5.1376886,62.5,-2.7050407,-4.6316743
,68.75,0.0009216,0.0024435,68.75,-0.0018511,-0.0014813,68.75,-0.0006694,-0.0016132,68.75,-0.0029942,0.0010349,68.75,-1.7407461,7.6024714,68.75,5.0250154,10.227685
,75,-0.0004483,-0.00054,75,-0.0001169,0.0008889,75,-0.0005273,0.000749,75,0.0004362,-0.0014454,75,0.5656967,-2.7262981,75,-5.0888629,-5.8953753
,81.25,-0.000709,0.0014928,81.25,0.0004522,-0.0002797,81.25,0.0007651,0.0006117,81.25,0.0005297,-0.0003261,81.25,-0.3216006,-2.36973,81.25,-3.9552863,0.9540698
,87.5,0.0004698,-0.0026585,87.5,-0.0000168,0.0000767,87.5,-0.0005335,-0.0018162,87.5,-0.0009094,0.0017513,87.5,-2.1174469,4.7690654,87.5,11.7993259,2.6921639
,93.75,-0.0002516,0.0021343,93.75,-0.0004309,-0.0003178,93.75,0.0002989,0.001431,93.75,0.0003322,-0.0017858,93.75,2.1422253,-3.6613538,93.75,-5.8368225,-3.937876
,100,0.0020239,-0.0010819,100,0.000547,0.0001081,100,0.0003121,-0.0003389,100,-0.0003703,0.0005256,100,-5.7587276,-7.6168108,100,-1.2847031,-5.6994905
,106.25,-0.0003217,-0.0000601,106.25,-0.0005129,0.0004691,106.25,-0.0015941,-0.001023,106.25,0.0014219,0.0015152,106.25,11.2366657,4.1971211,106.25,-10.6910963,15.550211
,112.5,-0.0000961,-0.0004689,112.5,0.0008096,-0.0005217,112.5,0.0028345,-0.0018461,112.5,-0.0021904,0.0004957,112.5,-4.3676901,3.3779213,112.5,19.245821,-10.9839439
,118.75,-0.0078836,0.0029224,118.75,-0.0012221,0.0000476,118.75,-0.0016791,0.0038009,118.75,0.0001225,-0.0028924,118.75,-2.1312501,1.3975387,118.75,-5.929163,2.7073393
,125,0.0119422,-0.0017017,125,0.0001591,0.00069,125,-0.0021841,0.0003871,125,0.0024827,0.0010783,125,1.2669123,-3.5974016,125,-4.5008736,0.5289764
,131.25,-0.0056775,-0.001323,131.25,0.0011987,-0.0006037,131.25,0.0029039,-0.0012208,131.25,-0.0011892,-0.0001557,131.25,-0.7482399,4.9051051,131.25,3.0171237,4.1722679
,137.5,0.002389,-0.0024066,137.5,-0.0015592,0.0004272,137.5,-0.0012522,-0.0011207,137.5,-0.0008501,0.0010484,137.5,2.1486404,-4.0727901,137.5,-2.1092637,-7.729867
,143.75,0.0003541,0.0026633,143.75,0.0003547,0.0006545,143.75,-0.0007895,0.0007992,143.75,0.0002642,0.0006757,143.75,0.3986169,0.4452902,143.75,4.7909245,3.7424884
